n u uR uL e
579.0 -75.4233738191 -11.0 11.0 53.0
580.0 -385.256621388 -87.0 87.0 121.0
581.0 -499.632796975 -124.0 124.0 96.0
582.0 -359.281705444 -91.0 91.0 53.0
583.0 -34.8434152327 -17.0 17.0 -38.0
584.0 307.940752716 69.0 -69.0 -125.0
585.0 492.554663077 123.0 -123.0 -129.0
586.0 422.835968543 110.0 -110.0 -84.0
587.0 133.753731021 43.0 -43.0 30.0
588.0 -225.314133065 -51.0 51.0 96.0
589.0 -467.2763491 -112.0 112.0 97.0
590.0 -464.888242944 -112.0 112.0 76.0
591.0 -218.275283709 -58.0 58.0 8.0
592.0 143.713693887 27.0 -27.0 -84.0
593.0 430.211008483 102.0 -102.0 -128.0
594.0 488.898934256 123.0 -123.0 -125.0
595.0 287.502626022 82.0 -82.0 -38.0
596.0 -67.6502785276 -5.0 5.0 53.0
597.0 -387.052725895 -88.0 88.0 96.0
598.0 -498.932883383 -118.0 118.0 101.0
599.0 -342.044473169 -88.0 88.0 53.0
600.0 -4.40872847693e-12 -10.0 10.0 -36.0
601.0 342.502497636 75.0 -75.0 -129.0
602.0 499.090693005 125.0 -125.0 -128.0
603.0 383.448197363 102.0 -102.0 -63.0
604.0 57.6766217042 24.0 -24.0 53.0
605.0 -300.210112663 -70.0 70.0 97.0
606.0 -493.137038319 -118.0 118.0 96.0
607.0 -413.716789197 -101.0 101.0 76.0
608.0 -104.775150123 -36.0 36.0 -38.0
609.0 262.854610932 60.0 -60.0 -79.0
610.0 484.291580564 112.0 -112.0 -109.0
611.0 434.936996602 108.0 -108.0 -84.0
612.0 141.304668415 45.0 -45.0 8.0
613.0 -232.29738953 -48.0 48.0 96.0
614.0 -475.138434501 -114.0 114.0 99.0
615.0 -449.01378788 -109.0 109.0 95.0
616.0 -167.594242303 -52.0 52.0 8.0
617.0 209.757728124 40.0 -40.0 -84.0
618.0 467.6108757 110.0 -110.0 -128.0
619.0 457.493919198 117.0 -117.0 -82.0
620.0 184.062276342 53.0 -53.0 -16.0
621.0 -195.975894134 -35.0 35.0 95.0
622.0 -463.014386579 -111.0 111.0 121.0
623.0 -461.457413647 -116.0 116.0 96.0
624.0 -191.051433117 -57.0 57.0 8.0
625.0 191.341716183 36.0 -36.0 -79.0
626.0 462.05989861 108.0 -108.0 -128.0
627.0 461.457413647 117.0 -117.0 -102.0
628.0 188.726462959 58.0 -58.0 -17.0
629.0 -195.975894134 -35.0 35.0 76.0
630.0 -464.888242944 -108.0 108.0 101.0
631.0 -457.493919198 -111.0 111.0 97.0
632.0 -177.031265393 -54.0 54.0 8.0
633.0 209.757728124 40.0 -40.0 -84.0
634.0 471.075545902 111.0 -111.0 -128.0
635.0 449.01378788 115.0 -115.0 -111.0
636.0 155.703140815 53.0 -53.0 -16.0
637.0 -232.29738953 -43.0 43.0 97.0
638.0 -479.617546264 -115.0 115.0 96.0
639.0 -434.936996602 -106.0 106.0 76.0
640.0 -124.344943582 -40.0 40.0 8.0
641.0 262.854610932 50.0 -50.0 -79.0
642.0 488.898934256 113.0 -113.0 -109.0
643.0 413.716789197 104.0 -104.0 -85.0
644.0 82.5582305914 33.0 -33.0 8.0
645.0 -300.210112663 -61.0 61.0 76.0
646.0 -496.662266846 -114.0 114.0 101.0
647.0 -383.448197363 -96.0 96.0 53.0
648.0 -30.141004555 -16.0 16.0 -35.0
649.0 342.502497636 75.0 -75.0 -85.0
650.0 500.0 117.0 -117.0 -101.0
651.0 342.044473169 88.0 -88.0 -62.0
652.0 -32.6493166648 5.0 -5.0 30.0
653.0 -387.052725895 -83.0 83.0 97.0
654.0 -495.402300979 -118.0 118.0 76.0
655.0 -287.502626022 -72.0 72.0 30.0
656.0 104.775150123 14.0 -14.0 -65.0
657.0 430.211008483 99.0 -99.0 -125.0
658.0 478.901215481 120.0 -120.0 -109.0
659.0 218.275283709 65.0 -65.0 -38.0
660.0 -184.062276342 -29.0 29.0 77.0
661.0 -467.2763491 -108.0 108.0 122.0
662.0 -446.355846205 -113.0 113.0 77.0
663.0 -133.753731021 -42.0 42.0 8.0
664.0 266.8515387 51.0 -51.0 -80.0
665.0 492.554663077 114.0 -114.0 -129.0
666.0 393.919398883 104.0 -104.0 -101.0
667.0 34.8434152328 27.0 -27.0 -16.0
668.0 -347.730723597 -66.0 66.0 76.0
669.0 -499.632796975 -115.0 115.0 77.0
670.0 -318.711994874 -79.0 79.0 52.0
671.0 75.4233738191 4.0 -4.0 -62.0
672.0 419.449316114 96.0 -96.0 -132.0
673.0 481.945593757 122.0 -122.0 -82.0
674.0 219.687417843 60.0 -60.0 -14.0
675.0 -191.341716183 -35.0 35.0 53.0
676.0 -473.14434769 -105.0 105.0 97.0
677.0 -433.691774462 -106.0 106.0 76.0
678.0 -98.6233540106 -34.0 34.0 4.0
679.0 304.214528271 60.0 -60.0 -84.0
680.0 499.013364214 116.0 -116.0 -126.0
681.0 351.10138004 95.0 -95.0 -66.0
682.0 -38.9163493237 5.0 -5.0 8.0
683.0 -402.467611924 -82.0 82.0 76.0
684.0 -487.543724136 -112.0 112.0 76.0
685.0 -233.96490713 -61.0 61.0 30.0
686.0 182.893304663 30.0 -30.0 -63.0
687.0 472.428749419 107.0 -107.0 -130.0
688.0 431.32747343 112.0 -112.0 -81.0
689.0 87.2022022259 33.0 -33.0 -14.0
690.0 -318.711994874 -60.0 60.0 76.0
691.0 -499.964371151 -115.0 115.0 97.0
692.0 -327.344021798 -84.0 84.0 77.0
693.0 77.9069256576 0.0 0.0 -36.0
694.0 428.115510842 92.0 -92.0 -102.0
695.0 473.042679414 115.0 -115.0 -81.0
696.0 179.379487674 52.0 -52.0 -35.0
697.0 -243.3506713 -41.0 41.0 53.0
698.0 -491.377544256 -108.0 108.0 77.0
699.0 -385.056292702 -92.0 92.0 76.0
700.0 -1.66589103522e-11 -15.0 15.0 -16.0
701.0 385.45679798 80.0 -80.0 -81.0
702.0 490.906604143 114.0 -114.0 -79.0
703.0 238.395300179 63.0 -63.0 -36.0
704.0 -188.726462959 -30.0 30.0 53.0
705.0 -477.896507399 -106.0 106.0 76.0
706.0 -415.996427776 -98.0 98.0 53.0
707.0 -47.366912366 -20.0 20.0 -17.0
708.0 356.649690057 74.0 -74.0 -81.0
709.0 496.770102318 115.0 -115.0 -111.0
710.0 267.913397489 75.0 -75.0 -39.0
711.0 -160.769312916 -24.0 24.0 30.0
712.0 -469.798537053 -99.0 99.0 76.0
713.0 -427.30193696 -100.0 100.0 79.0
714.0 -63.9131456543 -28.0 28.0 8.0
715.0 347.956398296 67.0 -67.0 -79.0
716.0 497.600055445 115.0 -115.0 -84.0
717.0 270.824763172 70.0 -70.0 -38.0
718.0 -161.661455668 -24.0 24.0 30.0
719.0 -471.599733214 -100.0 100.0 76.0
720.0 -422.163962751 -99.0 99.0 53.0
721.0 -49.8682744603 -20.0 20.0 -16.0
722.0 361.025044512 75.0 -75.0 -82.0
723.0 494.833203953 115.0 -115.0 -84.0
724.0 247.456396696 66.0 -66.0 -63.0
725.0 -191.341716183 -25.0 25.0 30.0
726.0 -482.361512189 -102.0 102.0 77.0
727.0 -399.08655692 -95.0 95.0 53.0
728.0 -5.02646357835 -11.0 11.0 -16.0
729.0 393.338244774 81.0 -81.0 -84.0
730.0 484.291580564 113.0 -113.0 -81.0
731.0 195.397695449 55.0 -55.0 -14.0
732.0 -247.456396696 -46.0 46.0 53.0
733.0 -495.612385537 -109.0 109.0 77.0
734.0 -352.218016481 -85.0 85.0 76.0
735.0 70.4506159688 -1.0 1.0 -16.0
736.0 437.546567331 90.0 -90.0 -84.0
737.0 456.474084507 108.0 -108.0 -63.0
738.0 110.910401024 34.0 -34.0 -17.0
739.0 -323.767445286 -61.0 61.0 77.0
740.0 -499.013364214 -115.0 115.0 77.0
741.0 -272.934002264 -69.0 69.0 76.0
742.0 173.500563864 19.0 -19.0 -41.0
743.0 480.059100426 104.0 -104.0 -81.0
744.0 397.757892444 95.0 -95.0 -62.0
745.0 -7.85365865592 10.0 -10.0 26.0
746.0 -407.442537747 -86.0 86.0 77.0
747.0 -474.64693475 -110.0 110.0 76.0
748.0 -153.3128776 -45.0 45.0 30.0
749.0 294.146728302 52.0 -52.0 -38.0
750.0 500.0 107.0 -107.0 -82.0
751.0 293.638407966 75.0 -75.0 -37.0
752.0 -155.703140815 -23.0 23.0 30.0
753.0 -476.394375372 -101.0 101.0 76.0
754.0 -401.533575422 -95.0 95.0 53.0
755.0 7.8536586559 -9.0 9.0 8.0
756.0 411.05214791 80.0 -80.0 -64.0
757.0 470.546709265 106.0 -106.0 -63.0
758.0 135.266618377 39.0 -39.0 -39.0
759.0 -314.090179823 -55.0 55.0 76.0
760.0 -499.013364214 -115.0 115.0 76.0
761.0 -262.319915364 -67.0 67.0 52.0
762.0 196.842611613 28.0 -28.0 -36.0
763.0 489.225681939 105.0 -105.0 -61.0
764.0 365.343388928 85.0 -85.0 -37.0
765.0 -70.4506159688 -6.0 6.0 8.0
766.0 -446.355846205 -90.0 90.0 76.0
767.0 -439.807682945 -103.0 103.0 76.0
768.0 -55.1794067382 -26.0 26.0 8.0
769.0 377.331888412 73.0 -73.0 -61.0
770.0 484.291580564 109.0 -109.0 -63.0
771.0 172.026515653 47.0 -47.0 -39.0
772.0 -289.811280723 -50.0 50.0 53.0
773.0 -499.916998923 -110.0 110.0 76.0
774.0 -274.248778203 -70.0 70.0 53.0
775.0 191.341716183 27.0 -27.0 -38.0
776.0 489.675016169 105.0 -105.0 -82.0
777.0 358.187505971 88.0 -88.0 -39.0
778.0 -88.7484918321 -9.0 9.0 30.0
779.0 -457.747072761 -97.0 97.0 76.0
780.0 -422.163962751 -99.0 99.0 76.0
781.0 -12.2509852116 -17.0 17.0 30.0
782.0 408.894134749 75.0 -75.0 -61.0
783.0 466.149276393 105.0 -105.0 -61.0
784.0 107.231290223 33.0 -33.0 -17.0
785.0 -347.956398296 -66.0 66.0 76.0
786.0 -491.377544256 -113.0 113.0 76.0
787.0 -193.081824254 -53.0 53.0 77.0
788.0 279.480685353 40.0 -40.0 -17.0
789.0 499.956475676 103.0 -103.0 -62.0
790.0 267.913397489 65.0 -65.0 -41.0
791.0 -207.473667804 -33.0 33.0 30.0
792.0 -494.513089998 -104.0 104.0 76.0
793.0 -330.89152172 -81.0 81.0 53.0
794.0 135.266618377 16.0 -16.0 8.0
795.0 477.896507399 93.0 -93.0 -61.0
796.0 382.033165152 88.0 -88.0 -36.0
797.0 -65.4707381046 -5.0 5.0 8.0
798.0 -452.947146863 -92.0 92.0 76.0
799.0 -421.995544478 -99.0 99.0 76.0
800.0 -7.83773951454e-12 -15.0 15.0 8.0
801.0 422.33221436 82.0 -82.0 -61.0
802.0 451.877047914 102.0 -102.0 -62.0
803.0 59.8604915422 24.0 -24.0 -17.0
804.0 -388.441142088 -74.0 74.0 77.0
805.0 -473.042679414 -110.0 110.0 76.0
806.0 -113.359651617 -37.0 37.0 53.0
807.0 353.331176672 60.0 -60.0 -38.0
808.0 486.98007083 104.0 -104.0 -62.0
809.0 160.17423354 44.0 -44.0 -39.0
810.0 -318.711994874 -55.0 55.0 53.0
811.0 -495.187327 -109.0 109.0 76.0
812.0 -200.302456846 -55.0 55.0 76.0
813.0 285.958410765 41.0 -41.0 -36.0
814.0 499.090693005 107.0 -107.0 -61.0
815.0 233.96490713 58.0 -58.0 -37.0
816.0 -256.141355878 -43.0 43.0 53.0
817.0 -499.988057826 -110.0 110.0 76.0
818.0 -261.517095579 -67.0 67.0 52.0
819.0 230.068901228 35.0 -35.0 -36.0
820.0 499.013364214 107.0 -107.0 -63.0
821.0 283.375698197 69.0 -69.0 -36.0
822.0 -208.33080783 -34.0 34.0 30.0
823.0 -497.116804185 -105.0 105.0 77.0
824.0 -299.958825076 -75.0 75.0 52.0
825.0 191.341716183 27.0 -27.0 6.0
826.0 495.055996571 97.0 -97.0 -63.0
827.0 311.639624084 74.0 -74.0 -16.0
828.0 -179.379487674 -32.0 32.0 30.0
829.0 -493.393968691 -104.0 104.0 53.0
830.0 -318.711994874 -74.0 74.0 76.0
831.0 172.616339492 19.0 -19.0 -16.0
832.0 492.500552735 101.0 -101.0 -65.0
833.0 321.367064065 77.0 -77.0 -36.0
834.0 -171.141270835 -27.0 27.0 30.0
835.0 -492.554663077 -104.0 104.0 77.0
836.0 -319.679242773 -79.0 79.0 53.0
837.0 174.972899694 24.0 -24.0 -17.0
838.0 493.545789667 102.0 -102.0 -67.0
839.0 313.601057566 76.0 -76.0 -38.0
840.0 -184.062276342 -29.0 29.0 30.0
841.0 -495.273903187 -105.0 105.0 81.0
842.0 -302.966432132 -76.0 76.0 53.0
843.0 198.28558502 29.0 -29.0 -16.0
844.0 497.34781921 102.0 -102.0 -36.0
845.0 287.502626022 64.0 -64.0 -38.0
846.0 -217.426968278 -35.0 35.0 52.0
847.0 -499.182920696 -110.0 110.0 76.0
848.0 -266.8515387 -68.0 68.0 77.0
849.0 241.152089348 32.0 -32.0 -16.0
850.0 500.0 103.0 -103.0 -62.0
851.0 240.601489659 60.0 -60.0 -38.0
852.0 -268.973563992 -46.0 46.0 53.0
853.0 -498.827850566 -110.0 110.0 76.0
854.0 -208.33080783 -56.0 56.0 53.0
855.0 300.210112663 49.0 -49.0 -17.0
856.0 494.513089998 102.0 -102.0 -36.0
857.0 169.664513082 41.0 -41.0 -39.0
858.0 -333.942258296 -58.0 58.0 77.0
859.0 -485.741472215 -112.0 112.0 76.0
860.0 -124.344943582 -40.0 40.0 52.0
861.0 368.968647934 63.0 -63.0 -38.0
862.0 471.075545902 101.0 -101.0 -61.0
863.0 72.3162615488 26.0 -26.0 -16.0
864.0 -403.768587685 -77.0 77.0 53.0
865.0 -449.01378788 -100.0 100.0 52.0
866.0 -13.8212469173 -13.0 13.0 30.0
867.0 436.478067086 81.0 -81.0 -38.0
868.0 418.076078787 91.0 -91.0 -38.0
869.0 -50.4934205803 -2.0 2.0 8.0
870.0 -464.888242944 -94.0 94.0 77.0
871.0 -376.919343441 -90.0 90.0 53.0
872.0 119.470112208 13.0 -13.0 8.0
873.0 486.476780482 95.0 -95.0 -39.0
874.0 324.485071503 72.0 -72.0 -38.0
875.0 -191.341716183 -30.0 30.0 30.0
876.0 -498.483217125 -105.0 105.0 76.0
877.0 -260.176999159 -67.0 67.0 53.0
878.0 263.655875738 42.0 -42.0 -16.0
879.0 498.039106992 102.0 -102.0 -62.0
880.0 184.062276342 49.0 -49.0 -38.0
881.0 -333.240212291 -59.0 59.0 53.0
882.0 -482.361512189 -107.0 107.0 53.0
883.0 -97.0829335788 -30.0 30.0 53.0
884.0 396.229998567 68.0 -68.0 -17.0
885.0 449.01378788 93.0 -93.0 -36.0
886.0 1.25663573855 7.0 -7.0 -19.0
887.0 -448.181333306 -85.0 85.0 77.0
888.0 -396.229998567 -94.0 94.0 53.0
889.0 100.16280107 9.0 -9.0 4.0
890.0 484.291580564 96.0 -96.0 -36.0
891.0 323.288388559 71.0 -71.0 -16.0
892.0 -202.60270638 -37.0 37.0 30.0
893.0 -499.743313555 -105.0 105.0 53.0
894.0 -230.905268574 -56.0 56.0 76.0
895.0 300.210112663 44.0 -44.0 -14.0
896.0 490.176941567 100.0 -100.0 -63.0
897.0 121.604365693 36.0 -36.0 -36.0
898.0 -386.056414409 -70.0 70.0 30.0
899.0 -452.27967443 -96.0 96.0 53.0
900.0 -2.05777801095e-11 -10.0 10.0 30.0
901.0 452.547199431 84.0 -84.0 -35.0
902.0 384.454394877 83.0 -83.0 -41.0
903.0 -127.08154524 -17.0 17.0 8.0
904.0 -492.060672273 -100.0 100.0 76.0
905.0 -287.502626022 -72.0 72.0 53.0
906.0 250.725168487 39.0 -39.0 8.0
907.0 497.81044904 97.0 -97.0 -62.0
908.0 165.224251086 45.0 -45.0 -35.0
909.0 -360.372358951 -65.0 65.0 30.0
910.0 -464.888242944 -98.0 98.0 53.0
911.0 -24.8083916831 -15.0 15.0 30.0
912.0 444.644346396 82.0 -82.0 -36.0
913.0 391.390982608 85.0 -85.0 -61.0
914.0 -123.127394651 -12.0 12.0 -14.0
915.0 -492.554663077 -95.0 95.0 77.0
916.0 -279.480685353 -71.0 71.0 53.0
917.0 264.989233934 42.0 -42.0 -16.0
918.0 495.055996571 102.0 -102.0 -39.0
919.0 136.173710933 35.0 -35.0 -38.0
920.0 -385.256621388 -69.0 69.0 52.0
921.0 -446.779760125 -99.0 99.0 52.0
922.0 26.3771283004 -5.0 5.0 10.0
923.0 468.164727343 91.0 -91.0 -16.0
924.0 347.730723597 72.0 -72.0 -36.0
925.0 -191.341716183 -31.0 31.0 8.0
926.0 -499.943152156 -101.0 101.0 76.0
927.0 -204.611227536 -56.0 56.0 52.0
928.0 338.592122959 57.0 -57.0 -38.0
929.0 471.39061654 101.0 -101.0 -63.0
930.0 31.3952597646 18.0 -18.0 -36.0
931.0 -447.06148759 -82.0 82.0 53.0
932.0 -380.406937859 -86.0 86.0 53.0
933.0 151.218217638 19.0 -19.0 8.0
934.0 497.954834588 97.0 -97.0 -41.0
935.0 233.96490713 54.0 -54.0 -38.0
936.0 -317.742733817 -55.0 55.0 30.0
937.0 -478.447363058 -101.0 101.0 78.0
938.0 -48.9304079348 -25.0 25.0 53.0
939.0 441.293402131 77.0 -77.0 -36.0
940.0 385.256621388 84.0 -84.0 -37.0
941.0 -148.820740996 -22.0 22.0 8.0
942.0 -498.175628495 -101.0 101.0 53.0
943.0 -227.275122999 -56.0 56.0 53.0
944.0 327.344021798 54.0 -54.0 -38.0
945.0 473.042679414 102.0 -102.0 -34.0
946.0 26.3771283003 12.0 -12.0 -16.0
947.0 -453.61014889 -87.0 87.0 53.0
948.0 -363.622936212 -83.0 83.0 53.0
949.0 184.354337888 26.0 -26.0 8.0
950.0 500.0 98.0 -98.0 -41.0
951.0 183.770142131 44.0 -44.0 -38.0
952.0 -365.343388928 -65.0 65.0 30.0
953.0 -451.202436552 -96.0 96.0 52.0
954.0 36.4102183017 -3.0 3.0 8.0
955.0 477.896507399 93.0 -93.0 -14.0
956.0 309.916909005 64.0 -64.0 -36.0
957.0 -254.25024757 -43.0 43.0 8.0
958.0 -493.137038319 -100.0 100.0 76.0
959.0 -99.5471400235 -35.0 35.0 30.0
960.0 422.163962751 78.0 -78.0 -38.0
961.0 400.595575946 87.0 -87.0 -62.0
962.0 -137.684455084 -15.0 15.0 -17.0
963.0 -498.307233205 -96.0 96.0 53.0
964.0 -214.02601143 -53.0 53.0 53.0
965.0 347.956398296 58.0 -58.0 -16.0
966.0 458.125447647 94.0 -94.0 -19.0
967.0 -27.945604586 -1.0 1.0 -17.0
968.0 -477.80403758 -92.0 92.0 53.0
969.0 -303.715649423 -71.0 71.0 53.0
970.0 267.91339749 42.0 -42.0 8.0
971.0 488.567361338 96.0 -96.0 -61.0
972.0 67.6502785275 25.0 -25.0 -37.0
973.0 -442.469436786 -81.0 81.0 53.0
974.0 -369.604041388 -84.0 84.0 52.0
975.0 191.341716183 27.0 -27.0 8.0
976.0 499.430039968 98.0 -98.0 -38.0
977.0 145.818614626 36.0 -36.0 -16.0
978.0 -401.533575422 -77.0 77.0 30.0
979.0 -415.122919998 -89.0 89.0 53.0
980.0 124.344943582 14.0 -14.0 30.0
981.0 498.094305523 93.0 -93.0 -62.0
982.0 206.043464453 53.0 -53.0 -66.0
983.0 -362.1100021 -59.0 59.0 8.0
984.0 -444.644346396 -90.0 90.0 30.0
985.0 70.4506159687 8.0 -8.0 6.0
986.0 490.906604143 96.0 -96.0 -36.0
987.0 249.364901777 57.0 -57.0 -63.0
988.0 -329.239660279 -53.0 53.0 8.0
989.0 -462.419201002 -94.0 94.0 53.0
990.0 31.3952597647 -4.0 4.0 8.0
991.0 482.772669908 94.0 -94.0 -35.0
992.0 277.393172371 62.0 -62.0 -35.0
993.0 -306.205231833 -54.0 54.0 10.0
994.0 -471.91201177 -96.0 96.0 53.0
995.0 7.85365865596 -9.0 9.0 30.0
996.0 477.057491445 89.0 -89.0 -38.0
997.0 291.60049771 65.0 -65.0 -62.0
998.0 -294.908337622 -46.0 46.0 6.0
999.0 -475.431083737 -96.0 96.0 53.0
1000.0 1.96438672373e-12 -10.0 10.0 8.0
1001.0 475.625244828 93.0 -93.0 -41.0
1002.0 292.875058285 66.0 -66.0 -63.0
1003.0 -296.175356651 -46.0 46.0 8.0
1004.0 -473.950966111 -96.0 96.0 52.0
1005.0 7.85365865594 -8.0 8.0 30.0
1006.0 478.901215481 89.0 -89.0 -36.0
1007.0 281.301468459 63.0 -63.0 -63.0
1008.0 -309.916909005 -49.0 49.0 10.0
1009.0 -467.052408927 -95.0 95.0 52.0
1010.0 31.3952597646 -4.0 4.0 8.0
1011.0 485.890068907 95.0 -95.0 -39.0
1012.0 256.141355878 59.0 -59.0 -63.0
1013.0 -335.109697039 -54.0 54.0 8.0
1014.0 -452.947146863 -92.0 92.0 53.0
1015.0 70.4506159688 3.0 -3.0 8.0
1016.0 494.135532309 97.0 -97.0 -17.0
1017.0 216.011393981 46.0 -46.0 -39.0
1018.0 -369.604041388 -66.0 66.0 8.0
1019.0 -428.601627527 -87.0 87.0 30.0
1020.0 124.344943583 18.0 -18.0 10.0
1021.0 499.656478414 97.0 -97.0 -38.0
1022.0 159.281140512 39.0 -39.0 -61.0
1023.0 -409.796138893 -69.0 69.0 30.0
1024.0 -390.018700883 -84.0 84.0 10.0
1025.0 191.341716183 36.0 -36.0 8.0
1026.0 496.945905579 97.0 -97.0 -63.0
1027.0 84.7263550548 29.0 -29.0 -65.0
1028.0 -450.250500794 -77.0 77.0 8.0
1029.0 -332.771523678 -68.0 68.0 8.0
1030.0 267.91339749 51.0 -51.0 -19.0
1031.0 479.17125847 99.0 -99.0 -65.0
1032.0 -7.53953661803 11.0 -11.0 -63.0
1033.0 -483.420609863 -84.0 84.0 28.0
1034.0 -252.89644257 -56.0 56.0 30.0
1035.0 347.956398296 63.0 -63.0 -16.0
1036.0 438.757345099 90.0 -90.0 -37.0
1037.0 -114.888982707 -15.0 15.0 -38.0
1038.0 -499.690521137 -92.0 92.0 30.0
1039.0 -148.220781948 -35.0 35.0 30.0
1040.0 422.163962751 78.0 -78.0 -35.0
1041.0 368.544323845 80.0 -80.0 -62.0
1042.0 -230.905268574 -33.0 33.0 -16.0
1043.0 -488.026816366 -94.0 94.0 53.0
1044.0 -20.1007746815 -14.0 14.0 10.0
1045.0 477.896507399 93.0 -93.0 -16.0
1046.0 263.655875738 55.0 -55.0 -41.0
1047.0 -344.329179701 -60.0 60.0 8.0
1048.0 -437.546567331 -89.0 89.0 30.0
1049.0 124.649208392 18.0 -18.0 4.0
1050.0 500.0 99.0 -99.0 -38.0
1051.0 124.040629683 32.0 -32.0 -36.0
1052.0 -438.757345099 -80.0 80.0 8.0
1053.0 -340.206981198 -69.0 69.0 8.0
1054.0 272.143842869 52.0 -52.0 -16.0
1055.0 473.042679414 97.0 -97.0 -63.0
1056.0 -42.6736824529 4.0 -4.0 -38.0
1057.0 -493.794927483 -91.0 91.0 30.0
1058.0 -194.529819159 -44.0 44.0 8.0
1059.0 400.971250702 78.0 -78.0 -17.0
1060.0 385.256621388 80.0 -80.0 -63.0
1061.0 -218.840396658 -31.0 31.0 -16.0
1062.0 -488.366102834 -94.0 94.0 53.0
1063.0 -9.73832143246 -12.0 12.0 8.0
1064.0 483.97753844 95.0 -95.0 -36.0
1065.0 233.96490713 53.0 -53.0 -39.0
1066.0 -376.299410177 -67.0 67.0 8.0
1067.0 -406.530059608 -82.0 82.0 30.0
1068.0 191.051433117 32.0 -32.0 8.0
1069.0 493.291780753 97.0 -97.0 -35.0
1070.0 31.3952597646 13.0 -13.0 -36.0
1071.0 -479.350341343 -88.0 88.0 8.0
1072.0 -245.269388686 -50.0 50.0 8.0
1073.0 370.660111088 72.0 -72.0 -16.0
1074.0 408.894134749 84.0 -84.0 -62.0
1075.0 -191.341716183 -25.0 25.0 -35.0
1076.0 -492.500552735 -91.0 91.0 30.0
1077.0 -22.2979102517 -10.0 10.0 30.0
1078.0 483.017077707 90.0 -90.0 -39.0
1079.0 229.510868676 53.0 -53.0 -38.0
1080.0 -385.256621388 -69.0 69.0 8.0
1081.0 -392.950032155 -80.0 80.0 28.0
1082.0 219.687417843 38.0 -38.0 8.0
1083.0 485.139417289 95.0 -95.0 -61.0
1084.0 -17.5892889526 8.0 -8.0 -16.0
1085.0 -492.554663077 -95.0 95.0 8.0
1086.0 -185.230085385 -38.0 38.0 8.0
1087.0 416.865829836 81.0 -81.0 -36.0
1088.0 354.883739929 78.0 -78.0 -35.0
1089.0 -273.460236617 -47.0 47.0 -16.0
1090.0 -464.888242944 -89.0 89.0 30.0
1091.0 87.8208222013 11.0 -11.0 30.0
1092.0 499.872095381 93.0 -93.0 -35.0
1093.0 109.378192441 28.0 -28.0 -63.0
1094.0 -457.112834394 -78.0 78.0 30.0
1095.0 -287.502626022 -63.0 63.0 8.0
1096.0 345.92039147 67.0 -67.0 -16.0
1097.0 420.642206395 87.0 -87.0 -66.0
1098.0 -185.230085385 -23.0 23.0 -38.0
1099.0 -491.084660844 -90.0 90.0 8.0
1100.0 -5.38980767365e-11 -1.0 1.0 8.0
1101.0 491.202395989 96.0 -96.0 -38.0
1102.0 182.893304663 44.0 -44.0 -63.0
1103.0 -423.672219387 -72.0 72.0 8.0
1104.0 -338.592122959 -69.0 69.0 8.0
1105.0 300.210112663 58.0 -58.0 8.0
1106.0 447.482754952 87.0 -87.0 -61.0
1107.0 -139.193840345 -15.0 15.0 -35.0
1108.0 -497.34781921 -92.0 92.0 8.0
1109.0 -37.3501286427 -9.0 9.0 30.0
1110.0 484.291580564 90.0 -90.0 -39.0
1111.0 206.901831395 49.0 -49.0 -64.0
1112.0 -412.477848779 -69.0 69.0 -16.0
1113.0 -349.307558655 -66.0 66.0 6.0
1114.0 292.875058285 57.0 -57.0 8.0
1115.0 449.01378788 88.0 -88.0 -63.0
1116.0 -141.304668415 -15.0 15.0 -16.0
1117.0 -496.478619765 -96.0 96.0 8.0
1118.0 -23.8670311943 -6.0 6.0 8.0
1119.0 488.700569325 96.0 -96.0 -35.0
1120.0 184.062276342 43.0 -43.0 -81.0
1121.0 -428.924859398 -69.0 69.0 10.0
1122.0 -322.568846488 -66.0 66.0 8.0
1123.0 325.678551911 63.0 -63.0 -17.0
1124.0 426.15585027 88.0 -88.0 -65.0
1125.0 -191.341716183 -25.0 25.0 -36.0
1126.0 -486.111525211 -90.0 90.0 6.0
1127.0 40.4821859162 6.0 -6.0 8.0
1128.0 498.672533837 98.0 -98.0 -36.0
1129.0 111.829201714 29.0 -29.0 -41.0
1130.0 -464.888242944 -84.0 84.0 10.0
1131.0 -251.540141584 -52.0 52.0 8.0
1132.0 390.018700883 76.0 -76.0 -16.0
1133.0 366.841214382 76.0 -76.0 -35.0
1134.0 -282.598698275 -49.0 49.0 -16.0
1135.0 -449.01378788 -86.0 86.0 8.0
1136.0 153.3128776 29.0 -29.0 8.0
1137.0 492.875240883 96.0 -96.0 -63.0
1138.0 -13.8212469173 9.0 -9.0 -62.0
1139.0 -496.841012071 -86.0 86.0 8.0
1140.0 -124.344943582 -26.0 26.0 8.0
1141.0 462.65782323 90.0 -90.0 -16.0
1142.0 250.725168487 53.0 -53.0 -66.0
1143.0 -394.884877786 -65.0 65.0 8.0
1144.0 -356.649690057 -72.0 72.0 8.0
1145.0 300.210112663 58.0 -58.0 4.0
1146.0 435.709681983 86.0 -86.0 -63.0
1147.0 -186.688200492 -24.0 24.0 -36.0
1148.0 -483.97753844 -89.0 89.0 10.0
1149.0 62.9782864175 10.0 -10.0 8.0
1150.0 500.0 98.0 -98.0 -63.0
1151.0 62.3549224071 25.0 -25.0 -61.0
1152.0 -484.60256364 -84.0 84.0 8.0
