n	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
0.0	0.0	0.0	1000.0	63.0	4.0	5.0	0.0	0.0	-2441.0
1.0	-400.0	400.0	1000.0	69.0	9.0	10.0	10.0	2.0	-2436.0
2.0	-400.0	400.0	1000.0	63.0	4.0	5.0	0.0	0.0	-2441.0
3.0	-400.0	400.0	1000.0	184.0	50.0	0.0	0.0	0.0	-2345.0
4.0	-400.0	400.0	816.0	554.0	50.0	0.0	0.0	0.0	-2096.0
5.0	-400.0	400.0	101.0	1000.0	91.0	0.0	48.0	0.0	-1509.0
6.0	-301.0	301.0	0.0	1000.0	247.0	56.0	53.0	0.0	-1118.0
7.0	-223.0	223.0	0.0	491.0	788.0	51.0	53.0	0.0	-742.0
8.0	-148.0	148.0	0.0	52.0	1000.0	158.0	48.0	0.0	-413.0
9.0	-82.0	82.0	0.0	0.0	697.0	489.0	53.0	0.0	-20.0
10.0	-4.0	4.0	0.0	0.0	394.0	882.0	53.0	0.0	243.0
11.0	48.0	-48.0	0.0	0.0	247.0	1000.0	53.0	0.0	350.0
12.0	70.0	-70.0	0.0	0.0	238.0	1000.0	107.0	0.0	402.0
13.0	80.0	-80.0	0.0	0.0	243.0	1000.0	53.0	0.0	353.0
14.0	70.0	-70.0	3.0	5.0	252.0	1000.0	64.0	2.0	357.0
15.0	71.0	-71.0	0.0	0.0	344.0	943.0	53.0	0.0	282.0
16.0	56.0	-56.0	0.0	0.0	389.0	887.0	53.0	0.0	247.0
17.0	49.0	-49.0	0.0	5.0	399.0	831.0	59.0	0.0	236.0
18.0	47.0	-47.0	0.0	0.0	444.0	775.0	53.0	0.0	192.0
19.0	38.0	-38.0	0.0	0.0	486.0	770.0	53.0	0.0	169.0
20.0	33.0	-33.0	0.0	0.0	490.0	770.0	53.0	0.0	167.0
21.0	33.0	-33.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
22.0	33.0	-33.0	0.0	0.0	490.0	775.0	53.0	0.0	168.0
23.0	33.0	-33.0	0.0	0.0	490.0	765.0	53.0	0.0	165.0
24.0	33.0	-33.0	0.0	0.0	495.0	770.0	48.0	0.0	108.0
25.0	21.0	-21.0	0.0	0.0	490.0	775.0	53.0	0.0	168.0
26.0	33.0	-33.0	0.0	0.0	490.0	765.0	53.0	0.0	165.0
27.0	33.0	-33.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
28.0	33.0	-33.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
29.0	33.0	-33.0	0.0	0.0	486.0	765.0	53.0	0.0	167.0
30.0	33.0	-33.0	3.0	5.0	495.0	775.0	59.0	0.0	171.0
31.0	34.0	-34.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
32.0	33.0	-33.0	0.0	0.0	486.0	765.0	53.0	0.0	167.0
33.0	33.0	-33.0	0.0	11.0	500.0	775.0	64.0	2.0	174.0
34.0	34.0	-34.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
35.0	33.0	-33.0	0.0	0.0	490.0	770.0	53.0	0.0	167.0
36.0	33.0	-33.0	0.0	0.0	490.0	765.0	53.0	0.0	165.0
37.0	33.0	-33.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
38.0	33.0	-33.0	0.0	0.0	486.0	775.0	53.0	0.0	170.0
39.0	34.0	-34.0	0.0	0.0	486.0	765.0	53.0	0.0	167.0
40.0	33.0	-33.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
41.0	33.0	-33.0	0.0	0.0	490.0	775.0	53.0	0.0	168.0
42.0	33.0	-33.0	0.0	0.0	490.0	765.0	53.0	0.0	165.0
43.0	33.0	-33.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
44.0	33.0	-33.0	0.0	0.0	495.0	775.0	53.0	0.0	165.0
45.0	33.0	-33.0	0.0	0.0	490.0	765.0	53.0	0.0	165.0
46.0	33.0	-33.0	3.0	5.0	495.0	775.0	59.0	0.0	171.0
47.0	34.0	-34.0	0.0	0.0	495.0	770.0	48.0	0.0	108.0
48.0	21.0	-21.0	0.0	0.0	490.0	765.0	53.0	0.0	165.0
49.0	33.0	-33.0	0.0	11.0	500.0	775.0	64.0	2.0	174.0
50.0	34.0	-34.0	0.0	0.0	500.0	775.0	53.0	0.0	163.0
51.0	32.0	-32.0	0.0	0.0	490.0	765.0	53.0	0.0	165.0
