n	R (ref)	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
217.0	-962.60006759	80.0	-80.0	0.0	317.0	1000.0	54.0	0.0	0.0	-692.0
218.0	-972.895473403	84.0	-84.0	6.0	333.0	1000.0	64.0	0.0	4.0	-693.0
219.0	-981.59186605	86.0	-86.0	0.0	403.0	1000.0	54.0	0.0	0.0	-740.0
220.0	-988.651744738	74.0	-74.0	0.0	403.0	1000.0	54.0	0.0	0.0	-740.0
221.0	-994.03998629	76.0	-76.0	6.0	418.0	1000.0	64.0	0.0	4.0	-739.0
222.0	-997.723993531	77.0	-77.0	0.0	403.0	994.0	54.0	0.0	0.0	-741.0
223.0	-999.673842604	77.0	-77.0	0.0	403.0	994.0	54.0	0.0	0.0	-741.0
224.0	-999.862428765	77.0	-77.0	0.0	403.0	989.0	54.0	0.0	0.0	-742.0
225.0	-998.265610185	76.0	-76.0	0.0	503.0	1000.0	59.0	0.0	0.0	-785.0
226.0	-994.862349282	62.0	-62.0	0.0	488.0	994.0	54.0	0.0	0.0	-783.0
227.0	-989.63485109	61.0	-61.0	0.0	488.0	989.0	59.0	0.0	0.0	-780.0
228.0	-982.568698148	60.0	-60.0	0.0	503.0	994.0	54.0	0.0	0.0	-790.0
229.0	-973.652981398	54.0	-54.0	0.0	496.0	943.0	59.0	0.0	0.0	-792.0
230.0	-962.880426559	51.0	-51.0	0.0	488.0	994.0	54.0	0.0	0.0	-783.0
231.0	-950.247515431	50.0	-50.0	0.0	496.0	994.0	54.0	0.0	0.0	-787.0
232.0	-935.75460159	44.0	-44.0	0.0	488.0	938.0	54.0	0.0	0.0	-794.0
233.0	-919.406019901	37.0	-37.0	0.0	496.0	1000.0	59.0	0.0	0.0	-782.0
234.0	-901.210189316	35.0	-35.0	0.0	496.0	994.0	64.0	0.0	0.0	-778.0
235.0	-881.179708364	30.0	-30.0	0.0	496.0	1000.0	59.0	0.0	0.0	-782.0
236.0	-859.331442784	23.0	-23.0	0.0	488.0	938.0	54.0	0.0	0.0	-794.0
237.0	-835.686604735	12.0	-12.0	6.0	503.0	1000.0	64.0	0.0	4.0	-781.0
238.0	-810.270823008	8.0	-8.0	0.0	496.0	994.0	54.0	0.0	0.0	-787.0
239.0	-783.114203691	0.0	0.0	0.0	488.0	938.0	54.0	0.0	0.0	-794.0
240.0	-754.251380736	-11.0	11.0	0.0	488.0	989.0	59.0	0.0	0.0	-780.0
241.0	-723.721555867	-16.0	16.0	0.0	503.0	1000.0	59.0	0.0	0.0	-785.0
242.0	-691.568527313	-27.0	27.0	0.0	488.0	938.0	54.0	0.0	0.0	-794.0
243.0	-657.840706839	-40.0	40.0	0.0	488.0	984.0	54.0	0.0	0.0	-785.0
244.0	-622.591124563	-48.0	48.0	0.0	418.0	1000.0	59.0	0.0	0.0	-744.0
245.0	-585.877421083	-47.0	47.0	0.0	410.0	1000.0	59.0	0.0	0.0	-739.0
246.0	-547.761826441	-57.0	57.0	0.0	403.0	994.0	54.0	0.0	0.0	-741.0
247.0	-508.311125488	-69.0	69.0	0.0	333.0	1000.0	59.0	0.0	4.0	-697.0
248.0	-467.596609224	-68.0	68.0	0.0	325.0	1000.0	59.0	0.0	0.0	-693.0
249.0	-425.694011734	-80.0	80.0	0.0	325.0	1000.0	59.0	0.0	0.0	-693.0
250.0	-382.683432365	-93.0	93.0	6.0	248.0	1000.0	64.0	0.0	4.0	-641.0
251.0	-338.649242818	-90.0	90.0	0.0	240.0	1000.0	113.0	0.0	0.0	-594.0
252.0	-293.679978868	-90.0	90.0	0.0	240.0	1000.0	113.0	0.0	0.0	-594.0
253.0	-247.868216487	-103.0	103.0	6.0	170.0	1000.0	124.0	0.0	4.0	-536.0
254.0	-201.310432141	-100.0	100.0	0.0	155.0	1000.0	113.0	0.0	0.0	-534.0
255.0	-154.106847133	-113.0	113.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
256.0	-106.361255866	-114.0	114.0	0.0	147.0	1000.0	167.0	0.0	0.0	-485.0
257.0	-58.1808379856	-127.0	127.0	0.0	77.0	1000.0	232.0	0.0	0.0	-382.0
258.0	-9.67595438295	-111.0	111.0	0.0	77.0	943.0	291.0	0.0	0.0	-337.0
259.0	39.0400728696	-112.0	112.0	0.0	69.0	877.0	345.0	0.0	0.0	-287.0
260.0	87.8511965507	-112.0	112.0	0.0	77.0	775.0	410.0	0.0	0.0	-237.0
261.0	136.638896111	-111.0	111.0	0.0	69.0	714.0	518.0	0.0	0.0	-155.0
262.0	185.282445046	-102.0	102.0	0.0	69.0	596.0	578.0	0.0	0.0	-91.0
263.0	233.659193523	-97.0	97.0	0.0	77.0	551.0	648.0	0.0	4.0	-53.0
264.0	281.644865888	-100.0	100.0	0.0	0.0	433.0	708.0	35.0	0.0	120.0
265.0	329.113872621	-62.0	62.0	0.0	0.0	428.0	816.0	35.0	0.0	155.0
266.0	375.93963623	-66.0	66.0	6.0	7.0	331.0	827.0	43.0	4.0	214.0
267.0	421.994930503	-62.0	62.0	0.0	0.0	321.0	881.0	35.0	0.0	232.0
268.0	467.152232473	-70.0	70.0	0.0	0.0	321.0	881.0	35.0	0.0	232.0
269.0	511.284086366	-83.0	83.0	6.0	7.0	275.0	886.0	43.0	4.0	263.0
270.0	554.263478737	-87.0	87.0	0.0	0.0	331.0	886.0	39.0	0.0	228.0
271.0	595.96422392	-110.0	110.0	0.0	0.0	265.0	886.0	35.0	0.0	269.0
272.0	636.261358855	-110.0	110.0	0.0	0.0	265.0	935.0	35.0	0.0	279.0
273.0	675.031546255	-118.0	118.0	0.0	0.0	209.0	1000.0	35.0	0.0	327.0
274.0	712.15348504	-115.0	115.0	0.0	0.0	214.0	1000.0	35.0	0.0	323.0
275.0	747.508326863	-127.0	127.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
276.0	780.980097494	-103.0	103.0	0.0	0.0	102.0	1000.0	83.0	0.0	483.0
277.0	812.456121766	-98.0	98.0	0.0	0.0	102.0	1000.0	119.0	0.0	513.0
278.0	841.8274507	-98.0	98.0	0.0	0.0	45.0	994.0	119.0	0.0	606.0
279.0	868.989289392	-78.0	78.0	0.0	0.0	51.0	945.0	174.0	4.0	605.0
280.0	893.841424151	-86.0	86.0	0.0	0.0	45.0	886.0	206.0	0.0	688.0
281.0	916.288647348	-68.0	68.0	0.0	0.0	45.0	816.0	206.0	0.0	701.0
282.0	936.241178355	-70.0	70.0	0.0	0.0	56.0	767.0	253.0	4.0	683.0
283.0	953.615078938	-81.0	81.0	0.0	0.0	51.0	767.0	250.0	0.0	686.0
284.0	968.33266138	-84.0	84.0	0.0	0.0	51.0	702.0	293.0	0.0	731.0
285.0	980.322887598	-74.0	74.0	6.0	7.0	5.0	708.0	297.0	4.0	795.0
286.0	989.521757498	-58.0	58.0	0.0	0.0	0.0	648.0	345.0	0.0	847.0
287.0	995.872684717	-44.0	44.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
288.0	999.326857974	-38.0	38.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
289.0	999.843586146	-38.0	38.0	0.0	0.0	0.0	648.0	384.0	0.0	872.0
290.0	997.390625232	-37.0	37.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
291.0	991.944485351	-36.0	36.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
292.0	983.490715911	-33.0	33.0	0.0	0.0	0.0	648.0	384.0	0.0	872.0
293.0	972.024167132	-30.0	30.0	0.0	0.0	0.0	648.0	380.0	0.0	869.0
294.0	957.549226097	-26.0	26.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
295.0	940.080025551	-20.0	20.0	0.0	0.0	0.0	648.0	384.0	4.0	872.0
296.0	919.64062372	-14.0	14.0	0.0	0.0	0.0	643.0	380.0	0.0	871.0
297.0	896.265153445	-7.0	7.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
298.0	869.997939006	0.0	0.0	0.0	0.0	0.0	643.0	380.0	4.0	871.0
299.0	840.893579087	9.0	-9.0	0.0	0.0	0.0	648.0	384.0	0.0	872.0
300.0	809.016994375	18.0	-18.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
301.0	774.443438426	28.0	-28.0	6.0	7.0	5.0	648.0	384.0	4.0	872.0
302.0	737.258470485	40.0	-40.0	0.0	0.0	0.0	648.0	341.0	0.0	844.0
303.0	697.557889089	43.0	-43.0	0.0	0.0	0.0	637.0	333.0	0.0	843.0
304.0	655.447625374	56.0	-56.0	0.0	0.0	0.0	697.0	337.0	0.0	825.0
305.0	611.043595166	63.0	-63.0	0.0	0.0	0.0	713.0	301.0	0.0	796.0
306.0	564.471509042	69.0	-69.0	0.0	0.0	51.0	767.0	250.0	0.0	686.0
307.0	515.866639718	51.0	-51.0	0.0	0.0	51.0	756.0	250.0	0.0	688.0
308.0	465.373546279	66.0	-66.0	0.0	0.0	51.0	767.0	214.0	0.0	657.0
309.0	413.145754913	72.0	-72.0	0.0	0.0	51.0	827.0	210.0	0.0	646.0
310.0	359.345396006	85.0	-85.0	0.0	0.0	51.0	816.0	206.0	0.0	644.0
311.0	304.142797633	101.0	-101.0	0.0	0.0	51.0	827.0	214.0	4.0	649.0
312.0	247.716035662	120.0	-120.0	0.0	0.0	51.0	886.0	162.0	0.0	601.0
313.0	190.250440901	123.0	-123.0	0.0	0.0	45.0	945.0	162.0	0.0	646.0
314.0	131.938063907	154.0	-154.0	6.0	7.0	56.0	945.0	130.0	4.0	565.0
315.0	72.9770983012	147.0	-147.0	0.0	0.0	102.0	1000.0	79.0	0.0	480.0
316.0	13.5712636382	139.0	-139.0	0.0	0.0	153.0	1000.0	75.0	0.0	436.0
317.0	-46.0708508995	144.0	-144.0	6.0	7.0	219.0	1000.0	43.0	4.0	320.0
318.0	-105.736480485	127.0	-127.0	0.0	0.0	326.0	881.0	35.0	0.0	229.0
319.0	-165.209414591	118.0	-118.0	0.0	0.0	433.0	827.0	39.0	0.0	156.0
320.0	-224.270760949	114.0	-114.0	0.0	0.0	489.0	637.0	0.0	0.0	65.0
321.0	-282.699741352	104.0	-104.0	0.0	77.0	607.0	589.0	0.0	0.0	-98.0
322.0	-340.274516898	72.0	-72.0	0.0	69.0	714.0	459.0	0.0	0.0	-186.0
323.0	-396.773040069	63.0	-63.0	0.0	77.0	821.0	405.0	0.0	0.0	-249.0
324.0	-451.973930783	60.0	-60.0	0.0	77.0	831.0	416.0	0.0	0.0	-244.0
325.0	-505.657373378	78.0	-78.0	0.0	69.0	826.0	405.0	0.0	0.0	-242.0
326.0	-557.606031258	94.0	-94.0	0.0	77.0	877.0	345.0	0.0	0.0	-294.0
327.0	-607.605975731	93.0	-93.0	0.0	69.0	882.0	351.0	0.0	0.0	-284.0
328.0	-655.447625374	111.0	-111.0	0.0	69.0	882.0	345.0	0.0	0.0	-288.0
329.0	-700.926692087	123.0	-123.0	0.0	77.0	943.0	345.0	0.0	0.0	-304.0
330.0	-743.845129807	131.0	-131.0	6.0	85.0	1000.0	297.0	0.0	4.0	-347.0
331.0	-784.012081712	131.0	-131.0	0.0	69.0	1000.0	232.0	0.0	0.0	-375.0
332.0	-821.244821583	133.0	-133.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
333.0	-855.36968488	110.0	-110.0	6.0	170.0	1000.0	124.0	0.0	4.0	-536.0
334.0	-886.222984953	105.0	-105.0	0.0	240.0	1000.0	113.0	0.0	0.0	-594.0
335.0	-913.651909739	95.0	-95.0	0.0	317.0	1000.0	113.0	0.0	0.0	-643.0
336.0	-937.5153942	88.0	-88.0	0.0	325.0	1000.0	59.0	0.0	0.0	-693.0
337.0	-957.684963717	79.0	-79.0	0.0	418.0	1000.0	54.0	0.0	0.0	-748.0
338.0	-974.04554361	67.0	-67.0	0.0	403.0	1000.0	54.0	0.0	0.0	-740.0
339.0	-986.496229973	73.0	-73.0	0.0	403.0	1000.0	54.0	0.0	0.0	-740.0
340.0	-994.951016981	76.0	-76.0	0.0	418.0	994.0	54.0	0.0	0.0	-749.0
341.0	-999.339475925	75.0	-75.0	0.0	488.0	994.0	54.0	0.0	0.0	-783.0
342.0	-999.607381248	64.0	-64.0	0.0	488.0	1000.0	54.0	0.0	0.0	-782.0
343.0	-995.717278989	63.0	-63.0	0.0	503.0	994.0	54.0	0.0	4.0	-790.0
344.0	-987.648993132	59.0	-59.0	0.0	488.0	994.0	54.0	0.0	0.0	-783.0
345.0	-975.400065537	57.0	-57.0	0.0	488.0	994.0	54.0	0.0	0.0	-783.0
346.0	-958.986125286	52.0	-52.0	6.0	503.0	943.0	64.0	0.0	4.0	-791.0
347.0	-938.44118351	44.0	-44.0	0.0	488.0	994.0	54.0	0.0	0.0	-783.0
348.0	-913.817849965	39.0	-39.0	0.0	488.0	994.0	54.0	0.0	0.0	-783.0
349.0	-885.187467945	30.0	-30.0	6.0	496.0	994.0	64.0	0.0	4.0	-778.0
350.0	-852.640164354	22.0	-22.0	0.0	503.0	994.0	54.0	0.0	0.0	-790.0
351.0	-816.284812147	7.0	-7.0	0.0	488.0	994.0	54.0	0.0	0.0	-783.0
352.0	-776.248902642	-1.0	1.0	0.0	488.0	989.0	59.0	0.0	0.0	-780.0
353.0	-732.67832564	-14.0	14.0	0.0	503.0	994.0	59.0	0.0	0.0	-786.0
354.0	-685.737055652	-30.0	30.0	0.0	488.0	1000.0	59.0	0.0	0.0	-778.0
355.0	-635.606742994	-42.0	42.0	0.0	488.0	1000.0	59.0	0.0	0.0	-778.0
356.0	-582.486208946	-58.0	58.0	0.0	496.0	1000.0	54.0	0.0	0.0	-786.0
357.0	-526.590844664	-77.0	77.0	0.0	488.0	1000.0	54.0	0.0	0.0	-782.0
358.0	-468.151914009	-93.0	93.0	0.0	410.0	1000.0	59.0	0.0	0.0	-739.0
359.0	-407.415761012	-99.0	99.0	0.0	341.0	1000.0	59.0	0.0	4.0	-702.0
360.0	-344.642923175	-107.0	107.0	0.0	240.0	1000.0	113.0	0.0	0.0	-594.0
361.0	-280.107152396	-93.0	93.0	0.0	240.0	1000.0	113.0	0.0	0.0	-594.0
362.0	-214.094345848	-113.0	113.0	6.0	170.0	1000.0	183.0	0.0	4.0	-491.0
363.0	-146.901389695	-103.0	103.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
364.0	-78.8349191242	-122.0	122.0	0.0	155.0	1000.0	227.0	0.0	0.0	-448.0
365.0	-10.2099987272	-131.0	131.0	6.0	85.0	1000.0	297.0	0.0	4.0	-347.0
366.0	58.6512721559	-121.0	121.0	0.0	77.0	887.0	356.0	0.0	0.0	-289.0
367.0	127.421223952	-124.0	124.0	0.0	77.0	775.0	405.0	0.0	0.0	-240.0
368.0	195.768145489	-130.0	130.0	0.0	69.0	647.0	518.0	0.0	0.0	-137.0
369.0	263.357870452	-120.0	120.0	0.0	77.0	545.0	643.0	0.0	0.0	-53.0
370.0	329.855414859	-114.0	114.0	0.0	0.0	484.0	767.0	35.0	0.0	113.0
371.0	394.926658191	-84.0	84.0	0.0	0.0	377.0	821.0	39.0	0.0	185.0
372.0	458.240060384	-81.0	81.0	0.0	0.0	331.0	886.0	35.0	0.0	228.0
373.0	519.468406357	-87.0	87.0	0.0	0.0	270.0	945.0	35.0	0.0	277.0
374.0	578.290569383	-90.0	90.0	0.0	0.0	265.0	994.0	35.0	0.0	289.0
375.0	634.393284164	-103.0	103.0	0.0	0.0	224.0	1000.0	43.0	4.0	316.0
376.0	687.47292013	-111.0	111.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
377.0	737.237245182	-90.0	90.0	0.0	0.0	153.0	1000.0	75.0	0.0	436.0
378.0	783.407169793	-104.0	104.0	6.0	7.0	107.0	1000.0	83.0	0.0	479.0
379.0	825.718461195	-103.0	103.0	0.0	0.0	102.0	1000.0	79.0	0.0	480.0
380.0	863.923417193	-114.0	114.0	0.0	0.0	102.0	945.0	123.0	0.0	517.0
381.0	897.792489056	-114.0	114.0	6.0	7.0	56.0	945.0	126.0	4.0	562.0
382.0	927.115842861	-109.0	109.0	0.0	0.0	45.0	886.0	162.0	0.0	654.0
383.0	951.704848702	-89.0	89.0	0.0	0.0	45.0	827.0	206.0	0.0	699.0
384.0	971.393487242	-81.0	81.0	0.0	0.0	0.0	702.0	250.0	0.0	762.0
385.0	986.039663236	-67.0	67.0	0.0	0.0	0.0	708.0	297.0	0.0	795.0
386.0	995.52641586	-60.0	60.0	0.0	0.0	0.0	637.0	337.0	0.0	845.0
387.0	999.763015979	-46.0	46.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
388.0	998.685940831	-38.0	38.0	0.0	0.0	0.0	589.0	384.0	0.0	894.0
389.0	992.259717042	-29.0	29.0	0.0	0.0	0.0	583.0	380.0	0.0	894.0
390.0	980.477623373	-25.0	25.0	0.0	0.0	0.0	578.0	376.0	0.0	894.0
391.0	963.362245204	-20.0	20.0	0.0	0.0	0.0	589.0	384.0	4.0	894.0
392.0	940.965873363	-13.0	13.0	0.0	0.0	0.0	583.0	380.0	0.0	894.0
393.0	913.370740663	-5.0	5.0	0.0	0.0	0.0	578.0	376.0	0.0	894.0
394.0	880.68909026	3.0	-3.0	0.0	0.0	0.0	583.0	380.0	4.0	894.0
395.0	843.063070822	15.0	-15.0	0.0	0.0	0.0	589.0	384.0	0.0	894.0
396.0	800.664454375	27.0	-27.0	0.0	0.0	0.0	637.0	376.0	0.0	871.0
397.0	753.694173717	35.0	-35.0	0.0	0.0	0.0	643.0	380.0	4.0	871.0
398.0	702.381677243	50.0	-50.0	0.0	0.0	0.0	643.0	380.0	0.0	871.0
399.0	646.984100182	67.0	-67.0	0.0	0.0	0.0	643.0	380.0	0.0	871.0
400.0	587.785252292	84.0	-84.0	0.0	0.0	0.0	702.0	293.0	0.0	794.0
401.0	525.094423289	80.0	-80.0	0.0	0.0	45.0	702.0	297.0	0.0	797.0
402.0	459.245008418	101.0	-101.0	0.0	0.0	45.0	767.0	250.0	0.0	745.0
403.0	390.59295786	106.0	-106.0	0.0	0.0	51.0	821.0	206.0	0.0	643.0
404.0	319.515054846	96.0	-96.0	0.0	0.0	51.0	886.0	170.0	0.0	607.0
405.0	246.407028649	108.0	-108.0	0.0	0.0	51.0	945.0	123.0	0.0	564.0
406.0	171.681509874	117.0	-117.0	0.0	0.0	102.0	940.0	123.0	0.0	518.0
407.0	95.7658366827	126.0	-126.0	0.0	0.0	107.0	1000.0	83.0	0.0	479.0
408.0	19.0997218821	137.0	-137.0	0.0	0.0	153.0	1000.0	75.0	0.0	436.0
409.0	-57.8672080211	147.0	-147.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
410.0	-134.677989497	171.0	-171.0	6.0	7.0	224.0	1000.0	43.0	4.0	316.0
411.0	-210.871000959	157.0	-157.0	0.0	0.0	321.0	886.0	35.0	0.0	234.0
412.0	-285.982729484	155.0	-155.0	0.0	0.0	484.0	756.0	35.0	0.0	109.0
413.0	-359.550609732	140.0	-140.0	6.0	7.0	658.0	589.0	0.0	4.0	-28.0
414.0	-431.115918539	120.0	-120.0	0.0	77.0	831.0	410.0	0.0	0.0	-248.0
415.0	-500.226707783	75.0	-75.0	0.0	69.0	938.0	286.0	0.0	0.0	-333.0
416.0	-566.440757345	69.0	-69.0	0.0	77.0	1000.0	232.0	0.0	0.0	-382.0
417.0	-629.328529269	74.0	-74.0	0.0	155.0	1000.0	232.0	0.0	0.0	-445.0
418.0	-688.476103673	72.0	-72.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
419.0	-743.488076475	76.0	-76.0	0.0	147.0	1000.0	167.0	0.0	0.0	-485.0
420.0	-793.990398648	92.0	-92.0	0.0	155.0	1000.0	178.0	0.0	0.0	-483.0
421.0	-839.633136539	106.0	-106.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
422.0	-880.093132661	117.0	-117.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
423.0	-915.076546469	128.0	-128.0	0.0	170.0	1000.0	124.0	0.0	0.0	-536.0
424.0	-944.321254846	122.0	-122.0	0.0	240.0	1000.0	113.0	0.0	0.0	-594.0
425.0	-967.59909236	111.0	-111.0	0.0	317.0	1000.0	113.0	0.0	0.0	-643.0
426.0	-984.717911917	102.0	-102.0	6.0	418.0	1000.0	64.0	0.0	4.0	-739.0
427.0	-995.523447078	76.0	-76.0	0.0	488.0	1000.0	54.0	0.0	0.0	-782.0
428.0	-999.900958181	65.0	-65.0	0.0	565.0	938.0	54.0	0.0	0.0	-829.0
429.0	-997.776645362	50.0	-50.0	6.0	589.0	943.0	64.0	0.0	4.0	-829.0
430.0	-989.118812772	48.0	-48.0	0.0	589.0	943.0	59.0	0.0	0.0	-834.0
431.0	-973.938769543	41.0	-41.0	0.0	651.0	882.0	54.0	0.0	0.0	-877.0
432.0	-952.291454558	22.0	-22.0	0.0	651.0	872.0	54.0	0.0	0.0	-879.0
433.0	-924.275773649	13.0	-13.0	0.0	666.0	938.0	54.0	0.0	0.0	-870.0
434.0	-890.034639593	6.0	-6.0	0.0	651.0	938.0	54.0	0.0	0.0	-864.0
435.0	-849.754707158	-4.0	4.0	0.0	658.0	933.0	59.0	0.0	0.0	-864.0
436.0	-803.665797433	-18.0	18.0	0.0	666.0	938.0	54.0	0.0	0.0	-870.0
437.0	-752.04000775	-35.0	35.0	0.0	658.0	938.0	59.0	0.0	0.0	-862.0
438.0	-695.190505756	-49.0	49.0	0.0	573.0	1000.0	59.0	0.0	0.0	-815.0
439.0	-633.470008418	-54.0	54.0	0.0	589.0	943.0	59.0	0.0	4.0	-834.0
440.0	-567.268949127	-79.0	79.0	0.0	496.0	1000.0	59.0	0.0	0.0	-782.0
441.0	-497.013338463	-85.0	85.0	0.0	488.0	1000.0	54.0	0.0	0.0	-782.0
442.0	-423.162326626	-107.0	107.0	0.0	410.0	1000.0	64.0	0.0	0.0	-735.0
443.0	-346.20547799	-116.0	116.0	0.0	317.0	1000.0	113.0	0.0	0.0	-643.0
444.0	-266.659770715	-112.0	112.0	0.0	240.0	1000.0	113.0	0.0	0.0	-594.0
445.0	-185.066336782	-122.0	122.0	6.0	255.0	1000.0	124.0	3.0	4.0	-595.0
446.0	-101.986960228	-147.0	147.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
447.0	-18.000353706	-140.0	140.0	0.0	155.0	1000.0	227.0	0.0	0.0	-448.0
448.0	66.3017642476	-154.0	154.0	0.0	77.0	933.0	286.0	0.0	0.0	-339.0
449.0	150.318766685	-146.0	146.0	0.0	77.0	775.0	410.0	0.0	0.0	-237.0
450.0	233.445363856	-141.0	141.0	0.0	69.0	658.0	578.0	0.0	0.0	-110.0
451.0	315.075968461	-127.0	127.0	0.0	0.0	484.0	697.0	35.0	0.0	90.0
452.0	394.609150316	-91.0	91.0	0.0	0.0	326.0	886.0	35.0	0.0	231.0
453.0	471.452148643	-72.0	72.0	0.0	0.0	270.0	945.0	35.0	0.0	277.0
454.0	545.025408843	-80.0	80.0	0.0	0.0	214.0	994.0	35.0	0.0	322.0
455.0	614.767109494	-87.0	87.0	0.0	0.0	219.0	1000.0	43.0	4.0	320.0
456.0	680.137644414	-108.0	108.0	0.0	0.0	153.0	1000.0	75.0	0.0	436.0
457.0	740.624023996	-91.0	91.0	0.0	0.0	158.0	1000.0	79.0	0.0	436.0
458.0	795.74415966	-107.0	107.0	6.0	7.0	112.0	1000.0	87.0	4.0	479.0
459.0	845.050995174	-109.0	109.0	0.0	0.0	107.0	1000.0	79.0	0.0	476.0
460.0	888.136448814	-123.0	123.0	0.0	0.0	45.0	945.0	123.0	0.0	615.0
461.0	924.635130825	-92.0	92.0	6.0	7.0	56.0	886.0	130.0	4.0	569.0
462.0	954.227801488	-115.0	115.0	0.0	0.0	45.0	827.0	162.0	0.0	663.0
463.0	976.644536184	-93.0	93.0	0.0	0.0	51.0	767.0	206.0	0.0	651.0
464.0	991.667565345	-102.0	102.0	0.0	0.0	0.0	697.0	250.0	0.0	763.0
465.0	999.13375888	-70.0	70.0	0.0	0.0	0.0	648.0	341.0	0.0	844.0
466.0	998.936726761	-46.0	46.0	0.0	0.0	0.0	643.0	380.0	0.0	871.0
467.0	991.02850981	-36.0	36.0	0.0	0.0	0.0	578.0	420.0	0.0	920.0
468.0	975.420837382	-16.0	16.0	0.0	0.0	0.0	583.0	424.0	0.0	921.0
469.0	952.185931577	-9.0	9.0	0.0	0.0	0.0	583.0	428.0	0.0	923.0
470.0	921.456840821	0.0	0.0	0.0	0.0	0.0	578.0	420.0	0.0	920.0
471.0	883.427289091	10.0	-10.0	0.0	0.0	0.0	583.0	424.0	4.0	921.0
472.0	838.351030742	24.0	-24.0	0.0	0.0	0.0	589.0	428.0	0.0	920.0
473.0	786.540704773	39.0	-39.0	0.0	0.0	0.0	578.0	420.0	0.0	920.0
474.0	728.366186385	57.0	-57.0	6.0	7.0	5.0	589.0	384.0	4.0	894.0
475.0	664.252437911	68.0	-68.0	0.0	0.0	0.0	589.0	384.0	0.0	894.0
476.0	594.676865484	89.0	-89.0	0.0	0.0	0.0	637.0	337.0	0.0	845.0
477.0	520.166192181	97.0	-97.0	6.0	7.0	5.0	708.0	297.0	4.0	795.0
478.0	441.292862822	105.0	-105.0	0.0	0.0	51.0	767.0	257.0	0.0	691.0
479.0	358.671000029	99.0	-99.0	0.0	0.0	51.0	767.0	206.0	0.0	651.0
480.0	272.951935517	113.0	-113.0	0.0	0.0	51.0	881.0	166.0	0.0	604.0
481.0	184.819344949	125.0	-125.0	0.0	0.0	51.0	945.0	123.0	0.0	564.0
482.0	94.9840188393	140.0	-140.0	0.0	0.0	102.0	1000.0	123.0	0.0	517.0
483.0	4.17830607153	153.0	-153.0	0.0	0.0	102.0	994.0	79.0	0.0	480.0
484.0	-86.849729597	169.0	-169.0	0.0	0.0	168.0	1000.0	87.0	0.0	435.0
485.0	-177.342396056	183.0	-183.0	0.0	0.0	270.0	1000.0	35.0	0.0	287.0
486.0	-266.538655095	165.0	-165.0	0.0	0.0	377.0	816.0	35.0	0.0	183.0
487.0	-353.680550117	160.0	-160.0	0.0	0.0	551.0	648.0	0.0	4.0	40.0
488.0	-438.019726392	143.0	-143.0	0.0	69.0	714.0	524.0	0.0	0.0	-152.0
489.0	-518.823988739	109.0	-109.0	0.0	77.0	887.0	345.0	0.0	0.0	-296.0
490.0	-595.383839708	89.0	-89.0	6.0	93.0	1000.0	243.0	3.0	4.0	-388.0
491.0	-667.018940014	83.0	-83.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
492.0	-733.084432143	73.0	-73.0	0.0	155.0	1000.0	172.0	0.0	0.0	-488.0
493.0	-792.977067738	91.0	-91.0	6.0	248.0	1000.0	124.0	0.0	4.0	-591.0
494.0	-846.141079591	76.0	-76.0	0.0	232.0	1000.0	108.0	0.0	0.0	-593.0
495.0	-892.073739835	89.0	-89.0	0.0	232.0	1000.0	113.0	0.0	0.0	-589.0
496.0	-930.33054729	102.0	-102.0	0.0	232.0	1000.0	113.0	0.0	0.0	-589.0
497.0	-960.529988816	111.0	-111.0	0.0	325.0	1000.0	113.0	0.0	0.0	-648.0
498.0	-982.357822016	100.0	-100.0	0.0	317.0	1000.0	108.0	0.0	0.0	-647.0
499.0	-995.570829681	104.0	-104.0	0.0	317.0	1000.0	54.0	0.0	0.0	-692.0
500.0	-1000.0	92.0	-92.0	0.0	418.0	1000.0	54.0	0.0	0.0	-748.0
501.0	-995.553090682	74.0	-74.0	0.0	403.0	1000.0	54.0	0.0	0.0	-740.0
502.0	-982.216539837	72.0	-72.0	0.0	488.0	1000.0	54.0	0.0	0.0	-782.0
503.0	-960.056691612	53.0	-53.0	0.0	503.0	1000.0	59.0	0.0	4.0	-785.0
