n	R (ref)	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
0.0	0.0	0.0	0.0	0.0	46.0	827.0	459.0	34.0	0.0	-144.0
1.0	0.0471238897341	-43.0	43.0	0.0	50.0	771.0	470.0	0.0	4.0	-122.0
2.0	0.18849555475	-36.0	36.0	0.0	41.0	771.0	470.0	34.0	0.0	-122.0
3.0	0.424114957377	-36.0	36.0	0.0	41.0	771.0	459.0	34.0	0.0	-127.0
4.0	0.753981951108	-38.0	38.0	0.0	46.0	710.0	464.0	0.0	4.0	-105.0
5.0	1.17809615503	-31.0	31.0	0.0	41.0	771.0	464.0	34.0	0.0	-125.0
6.0	1.69645677803	-37.0	37.0	0.0	46.0	771.0	518.0	34.0	0.0	-99.0
7.0	2.30906239272	-30.0	30.0	0.0	41.0	761.0	518.0	34.0	0.0	-95.0
8.0	3.01591065923	-29.0	29.0	0.0	46.0	720.0	470.0	34.0	0.0	-106.0
9.0	3.8169979987	-32.0	32.0	0.0	46.0	771.0	518.0	34.0	0.0	-99.0
10.0	4.71231921657	-30.0	30.0	0.0	41.0	761.0	518.0	34.0	0.0	-95.0
11.0	5.70186707567	-30.0	30.0	0.0	41.0	771.0	524.0	0.0	4.0	-96.0
12.0	6.78563181912	-30.0	30.0	0.0	41.0	771.0	524.0	34.0	0.0	-96.0
13.0	7.96360064303	-30.0	30.0	0.0	41.0	761.0	513.0	30.0	0.0	-98.0
14.0	9.23575711904	-32.0	32.0	3.0	50.0	771.0	470.0	0.0	9.0	-122.0
15.0	10.6020805668	-39.0	39.0	0.0	46.0	715.0	529.0	34.0	0.0	-75.0
16.0	12.0625453761	-26.0	26.0	0.0	41.0	761.0	513.0	30.0	0.0	-98.0
17.0	13.6171202795	-33.0	33.0	3.0	50.0	771.0	524.0	0.0	9.0	-96.0
18.0	15.2657675741	-33.0	33.0	0.0	46.0	720.0	529.0	34.0	0.0	-77.0
19.0	17.0084422945	-28.0	28.0	0.0	46.0	771.0	518.0	34.0	0.0	-99.0
20.0	18.845091335	-35.0	35.0	0.0	46.0	766.0	464.0	0.0	4.0	-123.0
21.0	20.7756525221	-42.0	42.0	0.0	41.0	771.0	524.0	34.0	0.0	-96.0
22.0	22.8000536385	-35.0	35.0	0.0	41.0	715.0	518.0	34.0	0.0	-80.0
23.0	24.9182113958	-31.0	31.0	0.0	46.0	766.0	518.0	34.0	0.0	-97.0
24.0	27.13003036	-37.0	37.0	0.0	41.0	771.0	524.0	34.0	0.0	-96.0
25.0	29.4354018256	-37.0	37.0	0.0	46.0	771.0	518.0	34.0	0.0	-99.0
26.0	31.8342026429	-39.0	39.0	0.0	46.0	766.0	518.0	34.0	0.0	-97.0
27.0	34.3262939953	-39.0	39.0	0.0	41.0	771.0	524.0	0.0	9.0	-96.0
28.0	36.9115201283	-39.0	39.0	0.0	46.0	776.0	529.0	34.0	0.0	-95.0
29.0	39.5897070314	-40.0	40.0	0.0	46.0	710.0	518.0	34.0	0.0	-79.0
