n	R (ref)	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
30.0	42.360661071	-36.0	36.0	3.0	50.0	776.0	470.0	0.0	9.0	-123.0
31.0	45.2241675768	-50.0	50.0	0.0	46.0	771.0	529.0	34.0	0.0	-94.0
32.0	48.1799893807	-42.0	42.0	0.0	41.0	761.0	518.0	34.0	0.0	-95.0
33.0	51.2278653101	-43.0	43.0	3.0	50.0	715.0	524.0	0.0	9.0	-78.0
34.0	54.3675086343	-39.0	39.0	0.0	41.0	771.0	524.0	34.0	0.0	-96.0
35.0	57.5986054665	-45.0	45.0	0.0	41.0	771.0	518.0	34.0	0.0	-99.0
36.0	60.9208131202	-47.0	47.0	0.0	41.0	705.0	518.0	0.0	0.0	-77.0
37.0	64.3337584224	-42.0	42.0	0.0	46.0	771.0	529.0	34.0	0.0	-94.0
38.0	67.8370359834	-48.0	48.0	0.0	46.0	771.0	518.0	34.0	0.0	-99.0
39.0	71.4302064237	-51.0	51.0	0.0	46.0	766.0	518.0	34.0	0.0	-97.0
40.0	75.1127945604	-51.0	51.0	0.0	41.0	715.0	524.0	34.0	0.0	-78.0
41.0	78.8842875518	-46.0	46.0	0.0	46.0	771.0	518.0	34.0	0.0	-99.0
42.0	82.744133004	-54.0	54.0	0.0	41.0	761.0	518.0	34.0	0.0	-95.0
43.0	86.6917370379	-54.0	54.0	0.0	46.0	776.0	529.0	0.0	9.0	-95.0
44.0	90.72646232	-55.0	55.0	0.0	46.0	715.0	529.0	34.0	0.0	-75.0
45.0	94.8476260572	-50.0	50.0	0.0	46.0	766.0	518.0	34.0	0.0	-97.0
46.0	99.0544979568	-58.0	58.0	3.0	50.0	776.0	529.0	0.0	9.0	-95.0
47.0	103.346298154	-59.0	59.0	0.0	41.0	715.0	524.0	34.0	0.0	-78.0
48.0	107.722195109	-55.0	55.0	0.0	41.0	761.0	513.0	30.0	0.0	-98.0
49.0	112.181303474	-63.0	63.0	3.0	50.0	776.0	529.0	0.0	9.0	-95.0
50.0	116.722681928	-63.0	63.0	0.0	46.0	771.0	529.0	34.0	0.0	-94.0
51.0	121.345330998	-64.0	64.0	0.0	46.0	710.0	518.0	34.0	0.0	-79.0
52.0	126.048190841	-61.0	61.0	0.0	46.0	710.0	518.0	0.0	4.0	-79.0
53.0	130.830139019	-62.0	62.0	0.0	46.0	715.0	529.0	34.0	0.0	-75.0
54.0	135.689988242	-63.0	63.0	0.0	41.0	715.0	518.0	34.0	0.0	-80.0
55.0	140.626484103	-66.0	66.0	0.0	41.0	705.0	518.0	34.0	0.0	-77.0
56.0	145.638302799	-66.0	66.0	0.0	41.0	715.0	524.0	30.0	0.0	-78.0
57.0	150.724048833	-68.0	68.0	0.0	41.0	715.0	518.0	34.0	0.0	-80.0
58.0	155.882252717	-70.0	70.0	0.0	46.0	710.0	518.0	34.0	0.0	-79.0
59.0	161.111368659	-72.0	72.0	0.0	46.0	720.0	529.0	0.0	9.0	-77.0
60.0	166.409772261	-72.0	72.0	0.0	46.0	664.0	529.0	34.0	0.0	-57.0
61.0	171.775758207	-68.0	68.0	0.0	41.0	649.0	578.0	34.0	0.0	-29.0
62.0	177.207537956	-61.0	61.0	3.0	50.0	664.0	589.0	0.0	9.0	-30.0
63.0	182.703237453	-63.0	63.0	0.0	46.0	659.0	583.0	34.0	0.0	-31.0
64.0	188.260894839	-65.0	65.0	0.0	46.0	654.0	578.0	34.0	0.0	-31.0
65.0	193.878458189	-67.0	67.0	3.0	50.0	664.0	589.0	0.0	9.0	-30.0
66.0	199.55378326	-68.0	68.0	0.0	41.0	659.0	583.0	34.0	0.0	-31.0
67.0	205.28463127	-70.0	70.0	0.0	46.0	654.0	578.0	34.0	0.0	-31.0
68.0	211.068666703	-72.0	72.0	0.0	41.0	593.0	572.0	0.0	0.0	-10.0
69.0	216.903455151	-67.0	67.0	0.0	41.0	604.0	583.0	34.0	0.0	-9.0
70.0	222.786461188	-69.0	69.0	0.0	46.0	593.0	632.0	34.0	0.0	15.0
71.0	228.715046296	-63.0	63.0	0.0	46.0	593.0	632.0	34.0	0.0	15.0
72.0	234.686466832	-65.0	65.0	0.0	41.0	604.0	643.0	34.0	0.0	15.0
73.0	240.697872056	-67.0	67.0	0.0	41.0	538.0	643.0	34.0	0.0	44.0
74.0	246.746302214	-60.0	60.0	0.0	41.0	593.0	691.0	30.0	0.0	38.0
75.0	252.828686689	-64.0	64.0	0.0	41.0	548.0	702.0	38.0	4.0	61.0
76.0	258.941842222	-59.0	59.0	0.0	46.0	548.0	702.0	34.0	0.0	61.0
77.0	265.082471216	-61.0	61.0	0.0	41.0	543.0	691.0	34.0	0.0	59.0
78.0	271.247160114	-63.0	63.0	3.0	50.0	548.0	702.0	38.0	4.0	61.0
79.0	277.432377878	-64.0	64.0	0.0	46.0	553.0	702.0	34.0	0.0	59.0
80.0	283.634474563	-67.0	67.0	0.0	46.0	543.0	697.0	34.0	0.0	62.0
81.0	289.84967999	-68.0	68.0	3.0	4.0	553.0	702.0	41.0	9.0	59.0
82.0	296.074102534	-71.0	71.0	0.0	41.0	548.0	702.0	34.0	0.0	61.0
83.0	302.303728036	-72.0	72.0	0.0	46.0	543.0	697.0	34.0	0.0	62.0
84.0	308.534418828	-73.0	73.0	0.0	0.0	543.0	697.0	34.0	0.0	62.0
85.0	314.761912909	-75.0	75.0	0.0	46.0	497.0	767.0	34.0	0.0	106.0
86.0	320.981823244	-64.0	64.0	0.0	46.0	487.0	762.0	34.0	0.0	110.0
87.0	327.189637227	-65.0	65.0	0.0	41.0	487.0	756.0	34.0	0.0	108.0
88.0	333.380716294	-67.0	67.0	0.0	41.0	441.0	762.0	34.0	0.0	133.0
89.0	339.5502957	-61.0	61.0	0.0	46.0	487.0	762.0	34.0	0.0	110.0
90.0	345.693484478	-70.0	70.0	0.0	46.0	487.0	756.0	34.0	0.0	108.0
91.0	351.805265569	-72.0	72.0	0.0	46.0	441.0	762.0	38.0	4.0	133.0
92.0	357.880496152	-67.0	67.0	0.0	41.0	431.0	821.0	34.0	0.0	155.0
93.0	363.913908169	-62.0	62.0	0.0	0.0	431.0	816.0	34.0	0.0	154.0
94.0	369.900109055	-64.0	64.0	3.0	4.0	385.0	821.0	38.0	4.0	180.0
95.0	375.833582693	-58.0	58.0	0.0	0.0	375.0	821.0	34.0	0.0	186.0
96.0	381.708690582	-58.0	58.0	0.0	0.0	380.0	886.0	34.0	0.0	199.0
97.0	387.519673254	-56.0	56.0	3.0	4.0	390.0	886.0	41.0	9.0	194.0
98.0	393.260651922	-59.0	59.0	0.0	0.0	385.0	881.0	34.0	0.0	195.0
99.0	398.925630383	-60.0	60.0	0.0	0.0	380.0	886.0	38.0	4.0	199.0
100.0	404.508497187	-61.0	61.0	0.0	0.0	380.0	875.0	34.0	0.0	197.0
101.0	410.00302807	-63.0	63.0	0.0	0.0	390.0	886.0	34.0	0.0	194.0
102.0	415.402888665	-66.0	66.0	0.0	0.0	380.0	886.0	34.0	0.0	199.0
103.0	420.701637502	-66.0	66.0	0.0	0.0	375.0	875.0	34.0	0.0	200.0
104.0	425.892729308	-67.0	67.0	0.0	0.0	390.0	886.0	34.0	0.0	194.0
105.0	430.969518602	-70.0	70.0	0.0	0.0	380.0	886.0	34.0	0.0	199.0
106.0	435.925263607	-70.0	70.0	0.0	0.0	380.0	875.0	34.0	0.0	197.0
107.0	440.753130485	-72.0	72.0	0.0	0.0	385.0	881.0	38.0	4.0	195.0
108.0	445.446197896	-75.0	75.0	0.0	0.0	380.0	886.0	38.0	4.0	199.0
109.0	449.997461896	-75.0	75.0	0.0	0.0	380.0	875.0	34.0	0.0	197.0
110.0	454.399841178	-77.0	77.0	3.0	4.0	390.0	886.0	41.0	9.0	194.0
111.0	458.646182663	-79.0	79.0	0.0	0.0	324.0	881.0	34.0	0.0	231.0
112.0	462.729267448	-69.0	69.0	0.0	0.0	324.0	940.0	34.0	0.0	243.0
113.0	466.641817124	-66.0	66.0	3.0	4.0	329.0	940.0	38.0	4.0	240.0
114.0	470.376500455	-69.0	69.0	0.0	0.0	335.0	945.0	34.0	0.0	238.0
115.0	473.925940441	-70.0	70.0	0.0	0.0	324.0	940.0	34.0	0.0	243.0
116.0	477.282721757	-70.0	70.0	0.0	0.0	269.0	935.0	34.0	0.0	276.0
117.0	480.439398582	-61.0	61.0	0.0	0.0	279.0	945.0	34.0	0.0	272.0
118.0	483.388502817	-63.0	63.0	0.0	0.0	269.0	940.0	34.0	0.0	277.0
119.0	486.122552694	-62.0	62.0	0.0	0.0	274.0	1000.0	34.0	0.0	284.0
120.0	488.634061784	-61.0	61.0	0.0	0.0	279.0	1000.0	34.0	0.0	281.0
121.0	490.915548408	-62.0	62.0	0.0	0.0	274.0	1000.0	38.0	4.0	284.0
122.0	492.959545442	-62.0	62.0	0.0	0.0	269.0	994.0	34.0	0.0	287.0
123.0	494.758610529	-62.0	62.0	0.0	0.0	279.0	1000.0	38.0	4.0	281.0
124.0	496.305336689	-64.0	64.0	0.0	0.0	269.0	1000.0	76.0	0.0	356.0
125.0	497.592363336	-42.0	42.0	0.0	0.0	213.0	1000.0	34.0	0.0	324.0
126.0	498.612387691	-52.0	52.0	3.0	4.0	223.0	1000.0	38.0	4.0	317.0
127.0	499.35817659	-54.0	54.0	0.0	0.0	269.0	1000.0	34.0	0.0	288.0
128.0	499.822578694	-63.0	63.0	0.0	0.0	269.0	1000.0	76.0	0.0	356.0
129.0	499.998537079	-42.0	42.0	3.0	4.0	228.0	1000.0	41.0	9.0	314.0
130.0	499.879102218	-55.0	55.0	0.0	0.0	274.0	1000.0	76.0	4.0	353.0
131.0	499.45744534	-43.0	43.0	0.0	0.0	274.0	1000.0	76.0	4.0	353.0
132.0	498.726872152	-43.0	43.0	0.0	0.0	218.0	994.0	34.0	0.0	320.0
133.0	497.680836929	-53.0	53.0	0.0	0.0	218.0	1000.0	34.0	0.0	321.0
134.0	496.312956957	-52.0	52.0	0.0	0.0	269.0	1000.0	76.0	0.0	356.0
135.0	494.617027307	-41.0	41.0	0.0	0.0	269.0	994.0	76.0	0.0	355.0
136.0	492.587035947	-41.0	41.0	0.0	0.0	223.0	1000.0	83.0	4.0	392.0
137.0	490.217179158	-29.0	29.0	0.0	0.0	269.0	1000.0	76.0	0.0	356.0
138.0	487.501877256	-39.0	39.0	0.0	0.0	274.0	994.0	76.0	4.0	352.0
139.0	484.435790586	-39.0	39.0	0.0	0.0	223.0	1000.0	41.0	9.0	317.0
140.0	481.013835793	-49.0	49.0	0.0	0.0	269.0	1000.0	76.0	0.0	356.0
141.0	477.231202319	-36.0	36.0	0.0	0.0	274.0	1000.0	34.0	0.0	284.0
142.0	473.083369137	-56.0	56.0	3.0	4.0	228.0	1000.0	41.0	9.0	314.0
143.0	468.566121675	-46.0	46.0	0.0	0.0	218.0	1000.0	34.0	0.0	321.0
144.0	463.675568922	-42.0	42.0	0.0	0.0	269.0	1000.0	76.0	0.0	356.0
145.0	458.408160676	-30.0	30.0	3.0	4.0	223.0	1000.0	41.0	9.0	317.0
146.0	452.760704916	-40.0	40.0	0.0	0.0	269.0	1000.0	72.0	0.0	353.0
147.0	446.730385269	-27.0	27.0	0.0	0.0	269.0	1000.0	34.0	0.0	288.0
148.0	440.314778534	-45.0	45.0	0.0	0.0	218.0	1000.0	34.0	0.0	321.0
149.0	433.511872237	-33.0	33.0	0.0	0.0	218.0	1000.0	76.0	4.0	390.0
150.0	426.320082177	-10.0	10.0	0.0	0.0	218.0	1000.0	76.0	0.0	390.0
151.0	418.738269934	-8.0	8.0	0.0	0.0	269.0	994.0	34.0	0.0	287.0
152.0	410.765760294	-36.0	36.0	0.0	0.0	223.0	1000.0	80.0	0.0	390.0
153.0	402.402358557	-3.0	3.0	0.0	0.0	269.0	1000.0	34.0	0.0	288.0
154.0	393.648367681	-31.0	31.0	0.0	0.0	269.0	994.0	76.0	0.0	355.0
155.0	384.504605232	-8.0	8.0	0.0	0.0	228.0	1000.0	41.0	9.0	314.0
156.0	374.972420071	-18.0	18.0	0.0	0.0	274.0	1000.0	34.0	0.0	284.0
157.0	365.053708767	-24.0	24.0	0.0	0.0	218.0	1000.0	34.0	0.0	321.0
158.0	354.75093165	-9.0	9.0	3.0	4.0	228.0	1000.0	41.0	9.0	314.0
159.0	344.067128489	-9.0	9.0	0.0	0.0	274.0	1000.0	34.0	0.0	284.0
160.0	333.005933717	-14.0	14.0	0.0	0.0	269.0	1000.0	76.0	0.0	356.0
161.0	321.571591171	10.0	-10.0	3.0	4.0	228.0	1000.0	41.0	9.0	314.0
162.0	309.768968281	1.0	-1.0	0.0	0.0	269.0	1000.0	34.0	0.0	288.0
163.0	297.603569661	-2.0	2.0	0.0	0.0	269.0	1000.0	34.0	0.0	288.0
164.0	285.081550034	0.0	0.0	0.0	0.0	269.0	994.0	34.0	0.0	287.0
165.0	272.209726456	4.0	-4.0	0.0	0.0	279.0	1000.0	34.0	0.0	281.0
166.0	258.995589752	6.0	-6.0	0.0	0.0	274.0	1000.0	34.0	0.0	284.0
167.0	245.447315129	11.0	-11.0	0.0	0.0	269.0	994.0	34.0	0.0	287.0
168.0	231.573771891	16.0	-16.0	0.0	0.0	279.0	1000.0	34.0	0.0	281.0
169.0	217.384532202	18.0	-18.0	0.0	0.0	269.0	1000.0	34.0	0.0	288.0
170.0	202.889878833	25.0	-25.0	0.0	0.0	269.0	994.0	34.0	0.0	287.0
171.0	188.100811831	29.0	-29.0	0.0	0.0	279.0	1000.0	41.0	9.0	281.0
172.0	173.029054047	32.0	-32.0	0.0	0.0	269.0	1000.0	34.0	0.0	288.0
173.0	157.687055464	39.0	-39.0	0.0	0.0	274.0	945.0	34.0	0.0	275.0
174.0	142.087996253	39.0	-39.0	0.0	0.0	274.0	940.0	38.0	4.0	274.0
175.0	126.245788508	44.0	-44.0	0.0	0.0	324.0	940.0	34.0	0.0	243.0
176.0	110.175076585	39.0	-39.0	0.0	0.0	329.0	945.0	38.0	4.0	241.0
177.0	93.8912359903	44.0	-44.0	3.0	4.0	335.0	945.0	41.0	9.0	238.0
178.0	77.4103707551	48.0	-48.0	0.0	0.0	335.0	945.0	34.0	0.0	238.0
179.0	60.7493092345	53.0	-53.0	0.0	0.0	324.0	940.0	34.0	0.0	243.0
180.0	43.9255982754	59.0	-59.0	0.0	0.0	324.0	935.0	34.0	0.0	242.0
181.0	26.9574956916	64.0	-64.0	0.0	0.0	329.0	940.0	34.0	0.0	240.0
182.0	9.86396099287	69.0	-69.0	0.0	0.0	324.0	881.0	34.0	0.0	231.0
183.0	-7.33535568949	71.0	-71.0	0.0	0.0	324.0	875.0	34.0	0.0	229.0
184.0	-24.6201265299	75.0	-75.0	0.0	0.0	335.0	886.0	38.0	4.0	225.0
185.0	-41.9693608411	79.0	-79.0	0.0	0.0	380.0	886.0	34.0	0.0	199.0
186.0	-59.3614218585	77.0	-77.0	0.0	0.0	380.0	875.0	34.0	0.0	197.0
187.0	-76.7740455211	81.0	-81.0	0.0	0.0	385.0	821.0	38.0	4.0	180.0
188.0	-94.1843612913	82.0	-82.0	0.0	46.0	436.0	827.0	34.0	0.0	154.0
189.0	-111.568915051	79.0	-79.0	0.0	41.0	431.0	756.0	34.0	0.0	136.0
190.0	-128.903694107	79.0	-79.0	3.0	4.0	497.0	767.0	41.0	9.0	106.0
191.0	-146.164154344	75.0	-75.0	0.0	41.0	492.0	702.0	34.0	0.0	87.0
192.0	-163.325249538	75.0	-75.0	0.0	46.0	543.0	697.0	34.0	0.0	62.0
193.0	-180.361462864	72.0	-72.0	0.0	50.0	548.0	643.0	0.0	4.0	39.0
194.0	-197.24684061	70.0	-70.0	0.0	46.0	604.0	643.0	34.0	0.0	15.0
195.0	-213.95502811	68.0	-68.0	0.0	41.0	593.0	632.0	34.0	0.0	15.0
196.0	-230.459307897	73.0	-73.0	0.0	41.0	593.0	632.0	0.0	0.0	15.0
197.0	-246.732640092	78.0	-78.0	0.0	46.0	604.0	583.0	34.0	0.0	-9.0
198.0	-262.747704998	75.0	-75.0	0.0	41.0	659.0	572.0	30.0	0.0	-36.0
199.0	-278.476947917	72.0	-72.0	0.0	46.0	654.0	578.0	34.0	0.0	-31.0
200.0	-293.892626146	78.0	-78.0	0.0	41.0	659.0	524.0	34.0	0.0	-58.0
201.0	-308.966858142	75.0	-75.0	0.0	41.0	659.0	518.0	30.0	0.0	-60.0
202.0	-323.671674819	78.0	-78.0	0.0	41.0	705.0	518.0	34.0	0.0	-77.0
203.0	-337.97907293	78.0	-78.0	0.0	46.0	776.0	529.0	0.0	9.0	-95.0
204.0	-351.861070509	76.0	-76.0	0.0	46.0	715.0	529.0	34.0	0.0	-75.0
205.0	-365.289764279	87.0	-87.0	0.0	41.0	761.0	459.0	34.0	0.0	-124.0
206.0	-378.237389008	76.0	-76.0	3.0	50.0	771.0	470.0	0.0	4.0	-122.0
207.0	-390.676378697	80.0	-80.0	0.0	46.0	827.0	470.0	34.0	0.0	-138.0
208.0	-402.579429554	79.0	-79.0	0.0	41.0	827.0	405.0	34.0	0.0	-172.0
209.0	-413.919564646	72.0	-72.0	3.0	50.0	832.0	416.0	0.0	9.0	-167.0
210.0	-424.670200132	77.0	-77.0	0.0	41.0	827.0	351.0	0.0	0.0	-203.0
211.0	-434.805212972	69.0	-69.0	0.0	46.0	888.0	345.0	0.0	4.0	-221.0
212.0	-444.299010004	66.0	-66.0	0.0	41.0	822.0	345.0	0.0	0.0	-205.0
213.0	-453.126598242	74.0	-74.0	0.0	46.0	888.0	356.0	0.0	4.0	-214.0
214.0	-461.263656283	74.0	-74.0	0.0	46.0	888.0	351.0	0.0	4.0	-217.0
215.0	-468.68660666	75.0	-75.0	0.0	41.0	934.0	345.0	0.0	0.0	-231.0
216.0	-475.372688995	73.0	-73.0	0.0	41.0	994.0	297.0	0.0	0.0	-270.0
217.0	-481.300033795	63.0	-63.0	0.0	41.0	994.0	286.0	0.0	0.0	-277.0
218.0	-486.447736702	62.0	-62.0	0.0	41.0	1000.0	286.0	0.0	0.0	-278.0
219.0	-490.795933025	63.0	-63.0	0.0	46.0	1000.0	297.0	0.0	9.0	-272.0
220.0	-494.325872369	66.0	-66.0	0.0	46.0	944.0	291.0	0.0	0.0	-265.0
221.0	-497.019993145	69.0	-69.0	0.0	41.0	994.0	286.0	0.0	0.0	-277.0
222.0	-498.861996765	66.0	-66.0	3.0	50.0	1000.0	297.0	0.0	9.0	-272.0
223.0	-499.836921302	68.0	-68.0	0.0	41.0	1000.0	286.0	0.0	0.0	-278.0
224.0	-499.931214382	66.0	-66.0	0.0	41.0	994.0	286.0	0.0	0.0	-277.0
225.0	-499.132805092	66.0	-66.0	3.0	50.0	1000.0	237.0	0.0	9.0	-309.0
226.0	-497.431174641	56.0	-56.0	0.0	41.0	1000.0	232.0	0.0	0.0	-312.0
227.0	-494.817425545	54.0	-54.0	0.0	46.0	1000.0	232.0	0.0	0.0	-312.0
228.0	-491.284349074	53.0	-53.0	0.0	41.0	989.0	227.0	0.0	0.0	-314.0
229.0	-486.826490699	51.0	-51.0	0.0	41.0	994.0	227.0	0.0	0.0	-315.0
230.0	-481.440213279	49.0	-49.0	0.0	41.0	1000.0	232.0	0.0	0.0	-312.0
231.0	-475.123757716	48.0	-48.0	0.0	41.0	1000.0	232.0	0.0	0.0	-312.0
232.0	-467.877300795	46.0	-46.0	0.0	41.0	1000.0	237.0	0.0	0.0	-309.0
233.0	-459.70300995	45.0	-45.0	0.0	46.0	1000.0	232.0	0.0	0.0	-312.0
234.0	-450.605094658	41.0	-41.0	0.0	41.0	1000.0	227.0	0.0	0.0	-315.0
235.0	-440.589854182	37.0	-37.0	0.0	41.0	1000.0	237.0	0.0	4.0	-309.0
236.0	-429.665721392	36.0	-36.0	0.0	41.0	994.0	227.0	0.0	0.0	-315.0
237.0	-417.843302368	30.0	-30.0	0.0	41.0	1000.0	227.0	0.0	0.0	-315.0
238.0	-405.135411504	27.0	-27.0	3.0	55.0	1000.0	243.0	3.0	9.0	-356.0
239.0	-391.557101846	10.0	-10.0	0.0	46.0	1000.0	232.0	0.0	4.0	-312.0
240.0	-377.125690368	19.0	-19.0	0.0	46.0	1000.0	232.0	0.0	0.0	-312.0
241.0	-361.860777933	14.0	-14.0	3.0	50.0	1000.0	237.0	0.0	9.0	-309.0
242.0	-345.784263657	10.0	-10.0	0.0	46.0	1000.0	232.0	0.0	0.0	-312.0
243.0	-328.92035342	4.0	-4.0	0.0	41.0	994.0	227.0	0.0	0.0	-315.0
244.0	-311.295562282	0.0	0.0	0.0	46.0	989.0	232.0	0.0	0.0	-310.0
245.0	-292.938710541	-5.0	5.0	0.0	41.0	994.0	227.0	0.0	0.0	-315.0
246.0	-273.880913221	-12.0	12.0	0.0	46.0	1000.0	232.0	0.0	4.0	-312.0
247.0	-254.155562744	-17.0	17.0	0.0	41.0	989.0	286.0	0.0	0.0	-276.0
248.0	-233.798304612	-12.0	12.0	0.0	41.0	994.0	297.0	0.0	0.0	-270.0
249.0	-212.847005867	-17.0	17.0	0.0	46.0	1000.0	291.0	0.0	4.0	-275.0
250.0	-191.341716183	-24.0	24.0	0.0	46.0	1000.0	286.0	0.0	0.0	-278.0
251.0	-169.324621409	-32.0	32.0	0.0	46.0	1000.0	297.0	0.0	9.0	-272.0
252.0	-146.839989434	-37.0	37.0	0.0	41.0	944.0	286.0	0.0	0.0	-268.0
253.0	-123.934108244	-43.0	43.0	0.0	46.0	1000.0	291.0	0.0	4.0	-275.0
254.0	-100.655216071	-52.0	52.0	3.0	50.0	1000.0	297.0	0.0	9.0	-272.0
255.0	-77.0534235663	-58.0	58.0	0.0	41.0	939.0	345.0	0.0	0.0	-232.0
256.0	-53.1806279331	-53.0	53.0	0.0	46.0	944.0	345.0	0.0	0.0	-233.0
257.0	-29.0904189928	-60.0	60.0	3.0	50.0	939.0	356.0	0.0	9.0	-226.0
258.0	-4.83797719148	-66.0	66.0	0.0	46.0	944.0	356.0	0.0	0.0	-227.0
259.0	19.5200364348	-73.0	73.0	0.0	41.0	883.0	345.0	0.0	0.0	-220.0
260.0	43.9255982754	-78.0	78.0	0.0	46.0	878.0	405.0	0.0	0.0	-185.0
261.0	68.3194480555	-75.0	75.0	0.0	46.0	888.0	416.0	0.0	4.0	-181.0
262.0	92.6412225231	-81.0	81.0	0.0	41.0	827.0	400.0	0.0	0.0	-175.0
263.0	116.829596762	-87.0	87.0	0.0	46.0	822.0	405.0	0.0	4.0	-170.0
264.0	140.822432944	-93.0	93.0	0.0	41.0	771.0	470.0	34.0	0.0	-122.0
265.0	164.556936311	-85.0	85.0	0.0	46.0	715.0	459.0	34.0	0.0	-110.0
266.0	187.969818115	-89.0	89.0	0.0	41.0	705.0	518.0	34.0	0.0	-77.0
267.0	210.997465251	-86.0	86.0	0.0	46.0	720.0	529.0	0.0	9.0	-77.0
268.0	233.576116237	-93.0	93.0	0.0	46.0	664.0	589.0	34.0	0.0	-30.0
269.0	255.642043183	-85.0	85.0	0.0	46.0	649.0	632.0	34.0	0.0	-7.0
270.0	277.131739368	-85.0	85.0	3.0	50.0	604.0	643.0	41.0	9.0	15.0
271.0	297.98211196	-84.0	84.0	0.0	41.0	548.0	702.0	34.0	0.0	61.0
272.0	318.130679428	-77.0	77.0	0.0	46.0	543.0	751.0	34.0	0.0	80.0
273.0	337.515773128	-77.0	77.0	3.0	4.0	497.0	767.0	41.0	9.0	106.0
274.0	356.07674252	-75.0	75.0	0.0	46.0	441.0	762.0	34.0	0.0	133.0
275.0	373.754163431	-72.0	72.0	0.0	41.0	431.0	821.0	34.0	0.0	155.0
276.0	390.490048747	-70.0	70.0	0.0	0.0	380.0	816.0	34.0	0.0	182.0
277.0	406.228060883	-67.0	67.0	0.0	46.0	385.0	881.0	34.0	0.0	195.0
278.0	420.91372535	-67.0	67.0	0.0	46.0	380.0	886.0	34.0	0.0	199.0
279.0	434.494644696	-70.0	70.0	0.0	0.0	380.0	935.0	34.0	0.0	211.0
280.0	446.920712076	-70.0	70.0	0.0	41.0	385.0	881.0	30.0	0.0	195.0
281.0	458.144323674	-78.0	78.0	0.0	0.0	375.0	940.0	34.0	0.0	214.0
282.0	468.120589177	-76.0	76.0	0.0	0.0	324.0	935.0	34.0	0.0	242.0
283.0	476.807539469	-70.0	70.0	0.0	0.0	329.0	940.0	38.0	4.0	240.0
284.0	484.16633069	-73.0	73.0	0.0	0.0	324.0	1000.0	34.0	0.0	255.0
285.0	490.161443799	-70.0	70.0	0.0	0.0	324.0	1000.0	34.0	0.0	255.0
286.0	494.760878749	-71.0	71.0	0.0	0.0	274.0	1000.0	38.0	4.0	284.0
287.0	497.936342358	-63.0	63.0	0.0	0.0	274.0	1000.0	34.0	0.0	284.0
